,Drafter,Pick,Round,player_first_last,current_score,current_pos,current_points,win,top_5,top_10,make_cut,round,thru,today,R1,R2,R3,R4,last_update,event_name
0,Alex,1,1,Rico Hoey,-3,T22,7,0,0,0,1,4,18,1,72,68,69,72,2025-11-16 2:55 PM,Butterfield Bermuda Championship
1,Dave,2,1,Thorbjorn Olesen,-2,T29,1,0,0,0,1,4,18,3,69,70,69,74,2025-11-16 2:55 PM,Butterfield Bermuda Championship
2,Stu,3,1,Nico Echavarria,1,T46,1,0,0,0,1,4,18,0,69,69,76,71,2025-11-16 2:55 PM,Butterfield Bermuda Championship
3,Stu,4,2,Patrick Rodgers,2,CUT,0,0,0,0,0,2,0,0,76,68,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
4,Dave,5,2,Matt Kuchar,1,T46,1,0,0,0,1,4,18,3,74,66,71,74,2025-11-16 2:55 PM,Butterfield Bermuda Championship
5,Alex,6,2,Kevin Yu,1,CUT,0,0,0,0,0,2,0,0,73,70,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
6,Alex,7,3,Vince Whaley,-10,T3,25,0,1,1,1,4,18,-1,68,68,68,70,2025-11-16 2:55 PM,Butterfield Bermuda Championship
7,Dave,8,3,Sahith Theegala,0,T42,1,0,0,0,1,4,18,2,76,65,70,73,2025-11-16 2:55 PM,Butterfield Bermuda Championship
8,Stu,9,3,Seamus Power,-7,T11,7,0,0,0,1,4,18,2,69,68,67,73,2025-11-16 2:55 PM,Butterfield Bermuda Championship
9,Stu,10,4,Pierceson Coody,-3,T22,7,0,0,0,1,4,18,-1,69,68,74,70,2025-11-16 2:55 PM,Butterfield Bermuda Championship
10,Dave,11,4,Sami Valimaki,-4,T18,7,0,0,0,1,4,18,2,71,69,67,73,2025-11-16 2:55 PM,Butterfield Bermuda Championship
11,Alex,12,4,Alex Smalley,-10,T3,25,0,1,1,1,4,18,-3,67,74,65,68,2025-11-16 2:55 PM,Butterfield Bermuda Championship
12,Alex,13,5,Mark Hubbard,3,CUT,0,0,0,0,0,2,0,0,73,72,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
13,Dave,14,5,Luke Clanton,3,CUT,0,0,0,0,0,2,0,0,76,69,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
14,Stu,15,5,Matti Schmid,-1,T34,1,0,0,0,1,4,18,2,72,69,69,73,2025-11-16 2:55 PM,Butterfield Bermuda Championship
15,Stu,16,6,Justin Lower,3,CUT,0,0,0,0,0,2,0,0,74,71,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
16,Dave,17,6,Takumi Kanaya,-10,T3,25,0,1,1,1,4,18,1,66,70,66,72,2025-11-16 2:55 PM,Butterfield Bermuda Championship
17,Alex,18,6,Sam Ryder,2,CUT,0,0,0,0,0,2,0,0,75,69,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
18,Alex,19,7,Doug Ghim,-6,13,7,0,0,0,1,4,18,-1,73,63,72,70,2025-11-16 2:55 PM,Butterfield Bermuda Championship
19,Dave,20,7,Victor Perez,1,CUT,0,0,0,0,0,2,0,0,74,69,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
20,Stu,21,7,Greyson Sigg,1,T46,1,0,0,0,1,4,18,1,70,72,71,72,2025-11-16 2:55 PM,Butterfield Bermuda Championship
21,Alex,22,8,Frankie Capan III,-10,T3,25,0,1,1,1,4,18,-1,66,70,68,70,2025-11-16 2:55 PM,Butterfield Bermuda Championship
22,Dave,23,8,Blades Brown,-1,T34,1,0,0,0,1,4,18,0,71,70,71,71,2025-11-16 2:55 PM,Butterfield Bermuda Championship
23,Stu,24,8,Rafael Campos,1,CUT,0,0,0,0,0,2,0,0,76,67,,,2025-11-16 2:55 PM,Butterfield Bermuda Championship
