Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Alex,5,2,1,Jackson Koivun,-25,50,18,64,68,61,66,100,100,100,100,29
Stu,1,1,2,Scottie Scheffler,-22,25,18,65,70,64,63,0,100,100,100,29
Dave,4,2,T3,Hideki Matsuyama,-20,25,18,70,65,65,64,0,100,100,100,29
Dave,21,7,T7,Davis Thompson,-19,15,18,68,68,63,66,0,0,100,100,29
Alex,8,3,9,Ben Kohles,-18,15,18,62,69,65,70,0,0,100,100,29
Dave,16,6,T10,Gary Woodland,-17,15,18,64,71,67,65,0,0,100,100,29
Dave,3,1,T20,Tom Kim,-14,7,18,68,69,67,66,0,0,0,100,29
Stu,6,2,T24,Kurt Kitayama,-13,7,18,68,69,66,68,0,0,0,100,29
Alex,23,8,T24,Austin Smotherman,-13,7,18,68,67,68,68,0,0,0,100,29
Alex,2,1,T34,Maverick McNealy,-11,1,18,71,66,72,64,0,0,0,100,29
Stu,13,5,T39,Jordan Smith,-10,1,18,71,68,67,68,0,0,0,100,29
Stu,18,6,T39,Corey Conners,-10,1,18,70,69,66,69,0,0,0,100,29
Dave,9,3,T44,Keith Mitchell,-9,1,18,68,69,67,71,0,0,0,100,29
Dave,24,8,T57,Lucas Glover,-5,1,18,65,70,72,72,0,0,0,100,29
Alex,14,5,T60,Sam Stevens,-4,1,18,68,69,73,70,0,0,0,100,29
Stu,19,7,CUT,Mac Meissner,-2,0,0,73,67,,,0,0,0,0,29
Stu,22,8,CUT,William Mouw,-2,0,0,71,69,,,0,0,0,0,29
Stu,7,3,CUT,Sungjae Im,-1,0,0,71,70,,,0,0,0,0,29
Alex,20,7,CUT,Doug Ghim,-1,0,0,69,72,,,0,0,0,0,29
Stu,12,4,CUT,Ben James,-1,0,0,70,71,,,0,0,0,0,29
Alex,17,6,CUT,Johnny Keefer,0,0,0,76,66,,,0,0,0,0,29
Dave,15,5,CUT,Tony Finau,1,0,0,74,69,,,0,0,0,0,29
Dave,10,4,CUT,Max Homa,4,0,0,72,74,,,0,0,0,0,29
Alex,11,4,CUT,Pierceson Coody,6,0,0,69,79,,,0,0,0,0,29
