current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Jackson Koivun,-25,50,4,18,-5,64,68,61,66,100,100,100,100,7/26/2026 16:50,3M Open,29
2,Scottie Scheffler,-22,25,4,18,-8,65,70,64,63,0,100,100,100,7/26/2026 16:50,3M Open,29
T3,Hideki Matsuyama,-20,25,4,18,-7,70,65,65,64,0,100,100,100,7/26/2026 16:50,3M Open,29
T3,Brian Harman,-20,25,4,18,-6,69,64,66,65,0,100,100,100,7/26/2026 16:50,3M Open,29
T3,Denny McCarthy,-20,25,4,18,-5,66,68,64,66,0,100,100,100,7/26/2026 16:50,3M Open,29
T3,Chandler Phillips,-20,25,4,18,-4,66,65,66,67,0,100,100,100,7/26/2026 16:50,3M Open,29
T7,Davis Thompson,-19,15,4,18,-5,68,68,63,66,0,0,100,100,7/26/2026 16:50,3M Open,29
T7,Emiliano Grillo,-19,15,4,18,-2,64,67,65,69,0,0,100,100,7/26/2026 16:50,3M Open,29
9,Ben Kohles,-18,15,4,18,-1,62,69,65,70,0,0,100,100,7/26/2026 16:50,3M Open,29
T10,Michael Kim,-17,15,4,18,-2,69,59,70,69,0,0,100,100,7/26/2026 16:50,3M Open,29
T10,Gary Woodland,-17,15,4,18,-6,64,71,67,65,0,0,100,100,7/26/2026 16:50,3M Open,29
T10,Seamus Power,-17,15,4,18,-3,68,68,63,68,0,0,100,100,7/26/2026 16:50,3M Open,29
T13,Jake Knapp,-16,7,4,18,-9,68,70,68,62,0,0,0,100,7/26/2026 16:50,3M Open,29
T13,Zac Blair,-16,7,4,18,-4,68,65,68,67,0,0,0,100,7/26/2026 16:50,3M Open,29
T13,Billy Horschel,-16,7,4,18,-1,67,66,65,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T16,Davis Chatfield,-15,7,4,18,-3,69,68,64,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T16,Kevin Yu,-15,7,4,18,-3,69,66,66,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T16,Zecheng Dou,-15,7,4,18,-5,67,69,67,66,0,0,0,100,7/26/2026 16:50,3M Open,29
T16,Patrick Fishburn,-15,7,4,18,-6,70,68,66,65,0,0,0,100,7/26/2026 16:50,3M Open,29
T20,Lee Hodges,-14,7,4,18,-1,68,67,65,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T20,Tom Kim,-14,7,4,18,-5,68,69,67,66,0,0,0,100,7/26/2026 16:50,3M Open,29
T20,Christiaan Bezuidenhout,-14,7,4,18,-5,68,67,69,66,0,0,0,100,7/26/2026 16:50,3M Open,29
T20,Rasmus Neergaard-Petersen,-14,7,4,18,-5,66,72,66,66,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Hank Lebioda,-13,7,4,18,-3,69,69,65,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Austin Smotherman,-13,7,4,18,-3,68,67,68,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Kurt Kitayama,-13,7,4,18,-3,68,69,66,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Chandler Blanchet,-13,7,4,18,-2,67,68,67,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Kevin Streelman,-13,7,4,18,-4,67,68,69,67,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,Michael Brennan,-13,7,4,18,3,65,69,63,74,0,0,0,100,7/26/2026 16:50,3M Open,29
T24,John Parry,-13,7,4,18,-7,69,69,69,64,0,0,0,100,7/26/2026 16:50,3M Open,29
T31,Chris Kirk,-12,1,4,18,-2,70,69,64,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T31,Max Greyserman,-12,1,4,18,-7,69,70,69,64,0,0,0,100,7/26/2026 16:50,3M Open,29
T31,Kevin Roy,-12,1,4,18,-2,65,70,68,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T34,Muzzy Donohue,-11,1,4,18,-7,73,63,73,64,0,0,0,100,7/26/2026 16:50,3M Open,29
T34,Vince Whaley,-11,1,4,18,-2,67,69,68,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T34,Maverick McNealy,-11,1,4,18,-7,71,66,72,64,0,0,0,100,7/26/2026 16:50,3M Open,29
T34,Mark Hubbard,-11,1,4,18,-2,70,69,65,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T34,Joel Dahmen,-11,1,4,18,-3,70,69,66,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T39,John VanDerLaan,-10,1,4,18,-1,67,71,66,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T39,Pontus Nyholm,-10,1,4,18,-5,68,69,71,66,0,0,0,100,7/26/2026 16:50,3M Open,29
T39,Corey Conners,-10,1,4,18,-2,70,69,66,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T39,Troy Merritt,-10,1,4,18,2,66,66,69,73,0,0,0,100,7/26/2026 16:50,3M Open,29
T39,Jordan Smith,-10,1,4,18,-3,71,68,67,68,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Jesper Svensson,-9,1,4,18,0,65,69,70,71,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Mackenzie Hughes,-9,1,4,18,-2,71,67,68,69,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Zach Bauchou,-9,1,4,18,-1,70,69,66,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Neal Shipley,-9,1,4,18,-1,70,69,66,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Matti Schmid,-9,1,4,18,-4,67,72,69,67,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Keith Mitchell,-9,1,4,18,0,68,69,67,71,0,0,0,100,7/26/2026 16:50,3M Open,29
T44,Ricky Castillo,-9,1,4,18,0,71,68,65,71,0,0,0,100,7/26/2026 16:50,3M Open,29
T51,Jimmy Stanger,-8,1,4,18,-1,69,70,67,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T51,Casey Jarvis,-8,1,4,18,2,71,66,66,73,0,0,0,100,7/26/2026 16:50,3M Open,29
T51,Kristoffer Ventura,-8,1,4,18,1,72,66,66,72,0,0,0,100,7/26/2026 16:50,3M Open,29
T51,Camilo Villegas,-8,1,4,18,-2,69,69,69,69,0,0,0,100,7/26/2026 16:50,3M Open,29
55,A.J. Ewart,-7,1,4,18,-2,69,69,70,69,0,0,0,100,7/26/2026 16:50,3M Open,29
56,Beau Hossler,-6,1,4,18,3,69,68,67,74,0,0,0,100,7/26/2026 16:50,3M Open,29
T57,Haotong Li,-5,1,4,18,0,68,68,72,71,0,0,0,100,7/26/2026 16:50,3M Open,29
T57,Lucas Glover,-5,1,4,18,1,65,70,72,72,0,0,0,100,7/26/2026 16:50,3M Open,29
T57,Austin Eckroat,-5,1,4,18,1,69,67,71,72,0,0,0,100,7/26/2026 16:50,3M Open,29
T60,Sam Stevens,-4,1,4,18,-1,68,69,73,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T60,Will Gordon,-4,1,4,18,-1,68,70,72,70,0,0,0,100,7/26/2026 16:50,3M Open,29
T62,Trace Crowe,-3,1,4,18,3,67,72,68,74,0,0,0,100,7/26/2026 16:50,3M Open,29
T62,Rico Hoey,-3,1,4,18,0,67,72,71,71,0,0,0,100,7/26/2026 16:50,3M Open,29
T64,Lanto Griffin,-2,1,4,18,2,70,68,71,73,0,0,0,100,7/26/2026 16:50,3M Open,29
CUT,Mac Meissner,-2,0,2,0,0,73,67,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Ben Silverman,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Max McGreevy,-2,0,2,0,0,74,66,,,0,0,0,0,7/26/2026 16:50,3M Open,29
T64,Jeffrey Kang,-2,1,4,18,2,67,70,72,73,0,0,0,100,7/26/2026 16:50,3M Open,29
CUT,Tyler Duncan,-2,0,2,0,0,70,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Ryan Brehm,-2,0,2,0,0,74,66,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Luke Clanton,-2,0,2,0,0,72,68,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Brian Campbell,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Keita Nakajima,-2,0,2,0,0,67,73,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Adrien Dumont De Chassart,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Hayden Springer,-2,0,2,0,0,71,69,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,William Mouw,-2,0,2,0,0,71,69,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Gordon Sargent,-2,0,2,0,0,73,67,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Marcelo Rozo,-2,0,2,0,0,67,73,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Preston Stout,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Adam Schenk,-2,0,2,0,0,70,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Harry Higgs,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Stephan Jaeger,-2,0,2,0,0,70,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Rasmus Hojgaard,-2,0,2,0,0,69,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Matthieu Pavon,-1,0,2,0,0,72,69,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Ben James,-1,0,2,0,0,70,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Ryder Cowan,-1,0,2,0,0,73,68,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Sungjae Im,-1,0,2,0,0,71,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Taylor Moore,-1,0,2,0,0,70,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Doug Ghim,-1,0,2,0,0,69,72,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Steven Fisk,-1,0,2,0,0,70,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Luke List,-1,0,2,0,0,71,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Chad Ramey,0,0,2,0,0,72,70,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Takumi Kanaya,0,0,2,0,0,73,69,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Charley Hoffman,0,0,2,0,0,73,69,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Joe Highsmith,0,0,2,0,0,71,71,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Adam Hadwin,0,0,2,0,0,69,73,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Adam Svensson,0,0,2,0,0,68,74,,,0,0,0,0,7/26/2026 16:50,3M Open,29
CUT,Dylan Wu,0,0,2,0,0,75,67,,,0,0,0,0,7/26/2026 16:50,3M Open,29
