Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Maverick McNealy
3,1,Dave,Tom Kim
4,2,Dave,Hideki Matsuyama
5,2,Alex,Jackson Koivun
6,2,Stu,Kurt Kitayama
7,3,Stu,Sungjae Im
8,3,Alex,Ben Kohles
9,3,Dave,Keith Mitchell
10,4,Dave,Max Homa
11,4,Alex,Pierceson Coody
12,4,Stu,Ben James
13,5,Stu,Jordan Smith
14,5,Alex,Sam Stevens
15,5,Dave,Tony Finau
16,6,Dave,Gary Woodland
17,6,Alex,Johnny Keefer
18,6,Stu,Corey Conners
19,7,Stu,Mac Meissner
20,7,Alex,Doug Ghim
21,7,Dave,Davis Thompson
22,8,Stu,William Mouw
23,8,Alex,Austin Smotherman
24,8,Dave,Lucas Glover
