Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Alex,16,6,T2,Sepp Straka,-21,25,18,66,66,67,68,0,100,100,100
Stu,1,1,T4,Scottie Scheffler,-20,25,18,72,66,67,63,0,100,100,100
Dave,8,3,T4,Tommy Fleetwood,-20,25,18,67,68,67,66,0,100,100,100
Dave,20,7,T6,Akshay Bhatia,-19,15,18,65,64,68,72,0,0,100,100
Dave,17,6,T8,Jake Knapp,-18,15,18,66,67,66,71,0,0,100,100
Alex,15,5,T14,Matt Fitzpatrick,-17,7,18,66,68,70,67,0,0,0,100
Stu,12,4,T14,Patrick Cantlay,-17,7,18,66,71,69,65,0,0,0,100
Alex,3,1,T14,Rory McIlroy,-17,7,18,68,67,72,64,0,0,0,100
Alex,21,7,T19,Xander Schauffele,-15,7,18,69,65,69,70,0,0,0,100
Dave,23,8,T19,Brian Harman,-15,7,18,68,69,67,69,0,0,0,100
Alex,4,2,T19,Russell Henley,-15,7,18,66,69,71,67,0,0,0,100
Stu,13,5,T24,Jason Day,-14,7,18,70,68,68,68,0,0,0,100
Alex,9,3,T29,Maverick McNealy,-13,1,18,67,72,63,73,0,0,0,100
Stu,22,8,T29,Max McGreevy,-13,1,18,69,68,68,70,0,0,0,100
Stu,6,2,T37,Justin Rose,-11,1,18,69,70,68,70,0,0,0,100
Dave,11,4,T37,Robert MacIntyre,-11,1,18,71,68,66,72,0,0,0,100
Stu,7,3,T37,Chris Gotterup,-11,1,18,64,71,70,72,0,0,0,100
Stu,18,6,T37,Ludvig Aberg,-11,1,18,75,69,66,67,0,0,0,100
Dave,14,5,T37,Ben Griffin,-11,1,18,70,68,65,74,0,0,0,100
Dave,5,2,T45,Si Woo Kim,-10,1,18,67,74,72,65,0,0,0,100
Alex,10,4,T55,Cameron Young,-7,1,18,68,70,71,72,0,0,0,100
Dave,2,1,T58,Viktor Hovland,-6,1,18,70,69,71,72,0,0,0,100
Alex,24,8,T67,Rico Hoey,-3,1,18,74,66,74,71,0,0,0,100
Stu,19,7,T75,Daniel Berger,2,1,18,73,74,75,68,0,0,0,100
