current_pos,player_first_last,current_score,current_points,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,tourney_num,event_name
1,Collin Morikawa,-22,50,69,68,62,67,266,"$3,600,000 ",700,5,AT&T Pebble Beach Pro-Am
T2,Min Woo Lee,-21,25,67,65,70,65,267,"$1,760,000 ",375,5,AT&T Pebble Beach Pro-Am
T2,Sepp Straka,-21,25,66,66,67,68,267,"$1,760,000 ",375,5,AT&T Pebble Beach Pro-Am
T4,Scottie Scheffler,-20,25,72,66,67,63,268,"$877,500 ",313,5,AT&T Pebble Beach Pro-Am
T4,Tommy Fleetwood,-20,25,67,68,67,66,268,"$877,500 ",313,5,AT&T Pebble Beach Pro-Am
T6,Sam Burns,-19,15,63,67,72,67,269,"$690,000 ",250,5,AT&T Pebble Beach Pro-Am
T6,Akshay Bhatia,-19,15,65,64,68,72,269,"$690,000 ",250,5,AT&T Pebble Beach Pro-Am
T8,Nico Echavarria,-18,15,69,69,65,67,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T8,Shane Lowry,-18,15,67,69,67,67,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T8,Ryo Hisatsune,-18,15,62,67,74,67,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T8,Hideki Matsuyama,-18,15,67,67,67,69,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T8,Jacob Bridgeman,-18,15,67,65,68,70,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T8,Jake Knapp,-18,15,66,67,66,71,270,"$515,000 ",148,5,AT&T Pebble Beach Pro-Am
T14,Rory McIlroy,-17,7,68,67,72,64,271,"$342,750 ",85,5,AT&T Pebble Beach Pro-Am
T14,Patrick Cantlay,-17,7,66,71,69,65,271,"$342,750 ",85,5,AT&T Pebble Beach Pro-Am
T14,Matt Fitzpatrick,-17,7,66,68,70,67,271,"$342,750 ",85,5,AT&T Pebble Beach Pro-Am
T14,Tom Hoge,-17,7,65,68,70,68,271,"$342,750 ",85,5,AT&T Pebble Beach Pro-Am
18,Tony Finau,-16,7,64,72,70,66,272,"$292,000 ",65,5,AT&T Pebble Beach Pro-Am
T19,Alex Smalley,-15,7,68,69,69,67,273,"$235,000 ",52,5,AT&T Pebble Beach Pro-Am
T19,Russell Henley,-15,7,66,69,71,67,273,"$235,000 ",52,5,AT&T Pebble Beach Pro-Am
T19,Brian Harman,-15,7,68,69,67,69,273,"$235,000 ",52,5,AT&T Pebble Beach Pro-Am
T19,Xander Schauffele,-15,7,69,65,69,70,273,"$235,000 ",52,5,AT&T Pebble Beach Pro-Am
T19,Rickie Fowler,-15,7,66,64,73,70,273,"$235,000 ",52,5,AT&T Pebble Beach Pro-Am
T24,Harry Hall,-14,7,68,71,67,68,274,"$162,000 ",40,5,AT&T Pebble Beach Pro-Am
T24,Jason Day,-14,7,70,68,68,68,274,"$162,000 ",40,5,AT&T Pebble Beach Pro-Am
T24,Ryan Fox,-14,7,72,64,69,69,274,"$162,000 ",40,5,AT&T Pebble Beach Pro-Am
T24,Harris English,-14,7,73,63,69,69,274,"$162,000 ",40,5,AT&T Pebble Beach Pro-Am
T24,Nick Taylor,-14,7,65,69,71,69,274,"$162,000 ",40,5,AT&T Pebble Beach Pro-Am
T29,Max McGreevy,-13,1,69,68,68,70,275,"$125,200 ",31,5,AT&T Pebble Beach Pro-Am
T29,Keegan Bradley,-13,1,63,71,71,70,275,"$125,200 ",31,5,AT&T Pebble Beach Pro-Am
T29,Alex Noren,-13,1,68,70,66,71,275,"$125,200 ",31,5,AT&T Pebble Beach Pro-Am
T29,Jordan Spieth,-13,1,66,68,69,72,275,"$125,200 ",31,5,AT&T Pebble Beach Pro-Am
T29,Maverick McNealy,-13,1,67,72,63,73,275,"$125,200 ",31,5,AT&T Pebble Beach Pro-Am
T34,Taylor Pendrith,-12,1,71,69,69,67,276,"$104,000 ",25,5,AT&T Pebble Beach Pro-Am
T34,Mackenzie Hughes,-12,1,66,71,71,68,276,"$104,000 ",25,5,AT&T Pebble Beach Pro-Am
T34,Sami Valimaki,-12,1,67,71,69,69,276,"$104,000 ",25,5,AT&T Pebble Beach Pro-Am
T37,Ludvig Aberg,-11,1,75,69,66,67,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Justin Rose,-11,1,69,70,68,70,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Bud Cauley,-11,1,68,67,72,70,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,J.T. Poston,-11,1,67,71,68,71,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Robert MacIntyre,-11,1,71,68,66,72,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Max Greyserman,-11,1,68,68,69,72,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Chris Gotterup,-11,1,64,71,70,72,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T37,Ben Griffin,-11,1,70,68,65,74,277,"$78,375 ",20,5,AT&T Pebble Beach Pro-Am
T45,Si Woo Kim,-10,1,67,74,72,65,278,"$57,000 ",16,5,AT&T Pebble Beach Pro-Am
T45,J.J. Spaun,-10,1,70,73,67,68,278,"$57,000 ",16,5,AT&T Pebble Beach Pro-Am
T45,Ryan Gerard,-10,1,72,68,66,72,278,"$57,000 ",16,5,AT&T Pebble Beach Pro-Am
T48,Andrew Novak,-9,1,65,75,71,68,279,"$49,250 ",13,5,AT&T Pebble Beach Pro-Am
T48,Billy Horschel,-9,1,69,72,69,69,279,"$49,250 ",13,5,AT&T Pebble Beach Pro-Am
T48,Kurt Kitayama,-9,1,72,67,70,70,279,"$49,250 ",13,5,AT&T Pebble Beach Pro-Am
T48,Pierceson Coody,-9,1,69,68,70,72,279,"$49,250 ",13,5,AT&T Pebble Beach Pro-Am
T52,Keith Mitchell,-8,1,74,67,71,68,280,"$45,000 ",12,5,AT&T Pebble Beach Pro-Am
T52,Chris Kirk,-8,1,69,69,70,72,280,"$45,000 ",12,5,AT&T Pebble Beach Pro-Am
T52,Patrick Rodgers,-8,1,64,70,73,73,280,"$45,000 ",12,5,AT&T Pebble Beach Pro-Am
T55,Denny McCarthy,-7,1,68,71,72,70,281,"$42,000 ",10,5,AT&T Pebble Beach Pro-Am
T55,Sam Stevens,-7,1,69,72,68,72,281,"$42,000 ",10,5,AT&T Pebble Beach Pro-Am
T55,Cameron Young,-7,1,68,70,71,72,281,"$42,000 ",10,5,AT&T Pebble Beach Pro-Am
T58,Viktor Hovland,-6,1,70,69,71,72,282,"$39,750 ",9,5,AT&T Pebble Beach Pro-Am
T58,Wyndham Clark,-6,1,69,70,71,72,282,"$39,750 ",9,5,AT&T Pebble Beach Pro-Am
T60,Steven Fisk,-5,1,70,70,74,69,283,"$38,250 ",8,5,AT&T Pebble Beach Pro-Am
T60,Garrick Higgo,-5,1,71,71,71,70,283,"$38,250 ",8,5,AT&T Pebble Beach Pro-Am
T60,Aldrich Potgieter,-5,1,74,70,68,71,283,"$38,250 ",8,5,AT&T Pebble Beach Pro-Am
T60,Sahith Theegala,-5,1,71,69,72,71,283,"$38,250 ",8,5,AT&T Pebble Beach Pro-Am
T64,Lucas Glover,-4,1,73,68,74,69,284,"$36,500 ",7,5,AT&T Pebble Beach Pro-Am
T64,Marco Penge,-4,1,73,68,72,71,284,"$36,500 ",7,5,AT&T Pebble Beach Pro-Am
T64,Emiliano Grillo,-4,1,69,71,70,74,284,"$36,500 ",7,5,AT&T Pebble Beach Pro-Am
T67,Matt McCarty,-3,1,75,69,73,68,285,"$35,083 ",6,5,AT&T Pebble Beach Pro-Am
T67,Stephan Jaeger,-3,1,69,74,72,70,285,"$35,083 ",6,5,AT&T Pebble Beach Pro-Am
T67,Rico Hoey,-3,1,74,66,74,71,285,"$35,083 ",6,5,AT&T Pebble Beach Pro-Am
T70,Corey Conners,-2,1,70,75,74,67,286,"$34,375 ",6,5,AT&T Pebble Beach Pro-Am
T70,Kevin Yu,-2,1,71,70,72,73,286,"$34,375 ",6,5,AT&T Pebble Beach Pro-Am
72,Michael Kim,E,1,68,70,71,79,288,"$34,000 ",5,5,AT&T Pebble Beach Pro-Am
T73,Matti Schmid,1,1,72,74,75,68,289,"$33,625 ",5,5,AT&T Pebble Beach Pro-Am
T73,Aaron Rai,1,1,77,70,72,70,289,"$33,625 ",5,5,AT&T Pebble Beach Pro-Am
T75,Daniel Berger,2,1,73,74,75,68,290,"$33,125 ",4,5,AT&T Pebble Beach Pro-Am
T75,Joe Highsmith,2,1,74,71,73,72,290,"$33,125 ",4,5,AT&T Pebble Beach Pro-Am
77,Adam Schenk,5,1,72,72,79,70,293,"$32,750 ",4,5,AT&T Pebble Beach Pro-Am
T78,Jhonattan Vegas,9,1,72,76,74,75,297,"$32,250 ",4,5,AT&T Pebble Beach Pro-Am
T78,Michael Thorbjornsen,9,1,68,77,73,79,297,"$32,250 ",4,5,AT&T Pebble Beach Pro-Am
T78,Brian Campbell,9,1,78,68,71,80,297,"$32,250 ",4,5,AT&T Pebble Beach Pro-Am
