Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,13,5,1,Shane Lowry,-23,50,18,67,62,65,63,100,100,100,100,36
Stu,4,2,T2,Patrick Reed,-12,25,18,68,68,68,64,0,100,100,100,36
Dave,7,3,T2,Joaquin Niemann,-12,25,18,65,70,66,67,0,100,100,100,36
Dave,19,7,T5,Tom McKibbin,-10,25,18,68,67,68,67,0,100,100,100,36
Alex,17,6,T7,Jacob Skov Olesen,-9,15,18,68,64,66,73,0,0,100,100,36
Dave,6,2,T7,Alex Fitzpatrick,-9,15,18,69,70,67,65,0,0,100,100,36
Dave,12,4,T14,Matt Wallace,-6,7,18,73,67,68,66,0,0,0,100,36
Alex,5,2,T14,Robert MacIntyre,-6,7,18,72,65,69,68,0,0,0,100,36
Dave,22,8,T14,Kazuma Kobori,-6,7,18,68,67,70,69,0,0,0,100,36
Alex,2,1,T23,Jon Rahm,-4,7,18,70,67,72,67,0,0,0,100,36
Stu,16,6,T31,Rasmus Hojgaard,-3,1,18,72,63,69,73,0,0,0,100,36
Alex,8,3,T36,Eugenio Chacarra,-2,1,18,72,69,71,66,0,0,0,100,36
Dave,1,1,T41,Rory McIlroy,-1,1,18,69,69,74,67,0,0,0,100,36
Alex,23,8,T46,Davis Bryant,0,1,18,74,65,71,70,0,0,0,100,36
Alex,14,5,T55,Brooks Koepka,2,1,18,75,66,70,71,0,0,0,100,36
Alex,11,4,CUT,Angel Ayora,2,0,0,73,69,,,0,0,0,0,36
Alex,20,7,CUT,David Puig,2,0,0,71,71,,,0,0,0,0,36
Dave,18,6,T55,Oliver Lindell,2,1,18,70,70,72,70,0,0,0,100,36
Stu,24,8,CUT,Todd Clements,2,0,0,70,72,,,0,0,0,0,36
Stu,21,7,CUT,Nicolai Hojgaard,3,0,0,69,74,,,0,0,0,0,36
Stu,15,5,CUT,Casey Jarvis,8,0,0,72,76,,,0,0,0,0,36
Stu,3,1,CUT,Tyrrell Hatton,8,0,0,78,70,,,0,0,0,0,36
Stu,10,4,CUT,Jordan Smith,9,0,0,73,76,,,0,0,0,0,36
Stu,9,3,69,Harry Hall,9,1,18,70,70,75,74,0,0,0,100,36
