current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Shane Lowry,-23,50,4,18,-7,67,62,65,63,100,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
T2,Joaquin Niemann,-12,25,4,18,-3,65,70,66,67,0,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
T2,Patrick Reed,-12,25,4,18,-6,68,68,68,64,0,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
4,Rasmus Neergaard-Petersen,-11,25,4,18,-7,69,67,70,63,0,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
T5,Gregorio De Leo,-10,25,4,18,-7,74,65,68,63,0,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
T5,Tom McKibbin,-10,25,4,18,-3,68,67,68,67,0,100,100,100,9/13/2026 18:09,Amgen Irish Open,36
T7,Alex Fitzpatrick,-9,15,4,18,-5,69,70,67,65,0,0,100,100,9/13/2026 18:09,Amgen Irish Open,36
T7,Jacob Skov Olesen,-9,15,4,18,3,68,64,66,73,0,0,100,100,9/13/2026 18:09,Amgen Irish Open,36
T9,Ewen Ferguson,-8,15,4,18,-6,69,66,73,64,0,0,100,100,9/13/2026 18:09,Amgen Irish Open,36
T9,Jens Dantorp,-8,15,4,18,-5,69,67,71,65,0,0,100,100,9/13/2026 18:09,Amgen Irish Open,36
T11,Daniel Rodrigues,-7,7,4,18,0,69,69,65,70,0,0,0,100,9/13/2026 18:09,Amgen Irish Open,36
T11,Ugo Coussaud,-7,7,4,18,-4,72,66,69,66,0,0,0,100,9/13/2026 18:09,Amgen Irish Open,36
T11,Paul Waring,-7,7,4,18,-4,70,68,69,66,0,0,0,100,9/13/2026 18:09,Amgen Irish Open,36
T14,Haotong Li,-6,7,4,18,0,69,63,72,70,0,0,0,100,9/13/2026 18:09,Amgen Irish Open,36
T14,Kazuma Kobori,-6,7,4,18,-1,68,67,70,69,0,0,0,100,9/13/2026 18:09,Amgen Irish Open,36
