Pick,Round,Drafter,Player
1,1,Dave,Rory McIlroy
2,1,Alex,Jon Rahm
3,1,Stu,Tyrrell Hatton
4,2,Stu,Patrick Reed
5,2,Alex,Robert MacIntyre
6,2,Dave,Alex Fitzpatrick
7,3,Dave,Joaquin Niemann
8,3,Alex,Eugenio Chacarra
9,3,Stu,Harry Hall
10,4,Stu,Jordan Smith
11,4,Alex,Angel Ayora
12,4,Dave,Matt Wallace
13,5,Dave,Shane Lowry
14,5,Alex,Brooks Koepka
15,5,Stu,Casey Jarvis
16,6,Stu,Rasmus Hojgaard
17,6,Alex,Jacob Skov Olesen
18,6,Dave,Oliver Lindell
19,7,Dave,Tom McKibbin
20,7,Alex,David Puig
21,7,Stu,Nicolai Hojgaard
22,8,Dave,Kazuma Kobori
23,8,Alex,Davis Bryant
24,8,Stu,Todd Clements
