Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Rory McIlroy
3,1,Alex,Tommy Fleetwood
4,2,Alex,Collin Morikawa
5,2,Dave,Xander Schauffele
6,2,Stu,Jake Knapp
7,3,Stu,Russell Henley
8,3,Dave,Cameron Young
9,3,Alex,Matt Fitzpatrick
10,4,Alex,Viktor Hovland
11,4,Dave,Hideki Matsuyama
12,4,Stu,Si Woo Kim
13,5,Stu,Shane Lowry
14,5,Dave,Chris Gotterup
15,5,Alex,Sepp Straka
16,6,Alex,Ludvig Aberg
17,6,Dave,Kurt Kitayama
17,6,Stu,Robert MacIntyre
19,7,Stu,Corey Conners
20,7,Dave,Patrick Cantlay
21,7,Alex,Jacob Bridgeman
22,8,Stu,Patrick Rodgers
23,8,Dave,Chris Kirk
24,8,Alex,Michael Kim
