Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Dave,8,3,T3,Cameron Young,-12,25,18,67,73,67,69,0,100,100,100
Alex,16,6,T3,Ludvig Aberg,-12,25,18,66,71,72,67,0,100,100,100
Alex,4,2,5,Collin Morikawa,-11,25,18,66,71,70,70,0,100,100,100
Stu,7,3,T6,Russell Henley,-10,15,18,70,69,71,68,0,0,100,100
Stu,12,4,T13,Si Woo Kim,-5,7,18,71,71,71,70,0,0,0,100
Alex,15,5,T13,Sepp Straka,-5,7,18,72,69,66,76,0,0,0,100
Alex,10,4,T13,Viktor Hovland,-5,7,18,72,72,67,72,0,0,0,100
Dave,14,5,T18,Chris Gotterup,-3,7,18,69,71,69,76,0,0,0,100
Alex,21,7,T18,Jacob Bridgeman,-3,7,18,75,69,69,72,0,0,0,100
Dave,17,6,T18,Kurt Kitayama,-3,7,18,69,74,71,71,0,0,0,100
Stu,1,1,T24,Scottie Scheffler,-2,7,18,70,71,72,73,0,0,0,100
Dave,5,2,T24,Xander Schauffele,-2,7,18,68,71,73,74,0,0,0,100
Stu,17,6,T24,Robert MacIntyre,-2,7,18,72,72,72,70,0,0,0,100
Stu,22,8,T24,Patrick Rodgers,-2,7,18,72,73,68,73,0,0,0,100
Stu,19,7,T33,Corey Conners,-1,1,18,69,74,72,72,0,0,0,100
Alex,24,8,T33,Michael Kim,-1,1,18,75,69,71,72,0,0,0,100
Dave,2,1,WD,Rory McIlroy,0,0,0,72,68,,,0,0,0,0
Alex,9,3,T41,Matt Fitzpatrick,1,1,18,74,70,70,75,0,0,0,100
Dave,11,4,T41,Hideki Matsuyama,1,1,18,70,74,73,72,0,0,0,100
Stu,13,5,CUT,Shane Lowry,3,0,0,74,73,,,0,0,0,0
Dave,20,7,CUT,Patrick Cantlay,4,0,0,71,77,,,0,0,0,0
Stu,6,2,CUT,Keegan Bradley,5,0,0,71,78,,,0,0,0,0
Dave,23,8,T47,Chris Kirk,5,1,18,73,72,75,73,0,0,0,100
Alex,3,1,49,Tommy Fleetwood,6,1,18,76,69,76,73,0,0,0,100
