Pick,Round,Drafter,Player
1,1,Stu,Rory McIlroy
2,1,Alex,Tommy Fleetwood
3,1,Dave,Ludvig Aberg
4,2,Dave,Jon Rahm
5,2,Alex,Matt Fitzpatrick
6,2,Stu,Patrick Reed
7,3,Stu,Alex Fitzpatrick
8,3,Alex,Viktor Hovland
9,3,Dave,Joaquin Niemann
10,4,Dave,Shane Lowry
11,4,Alex,Alex Noren
12,4,Stu,Tyrrell Hatton
13,5,Stu,Justin Rose
14,5,Alex,Ryan Gerard
15,5,Dave,Adam Scott
16,6,Dave,Tom McKibbin
17,6,Alex,Aaron Rai
18,6,Stu,Robert MacIntyre
19,7,Stu,J.J Spaun
20,7,Alex,Rasmus Neergaard-Petersen
21,7,Dave,Alex Smalley
22,8,Stu,Marcus Armitage
23,8,Alex,Adrien Saddier
24,8,Dave,Francesco Laporta
