Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,16,6,1,Wyndham Clark,-17,50,18,64,64,65,70,100,100,100,100,33
Alex,17,6,2,Patrick Cantlay,-14,25,18,67,65,66,68,0,100,100,100,33
Alex,2,1,3,Rory McIlroy,-13,25,18,64,69,65,69,0,100,100,100,33
Alex,11,4,T4,Chris Gotterup,-12,25,18,64,67,68,69,0,100,100,100,33
Stu,18,6,T4,Collin Morikawa,-12,25,18,68,65,67,68,0,100,100,100,33
Alex,23,8,T12,Ryo Hisatsune,-7,7,18,65,70,67,71,0,0,0,100,33
Stu,13,5,T12,Russell Henley,-7,7,18,67,66,70,70,0,0,0,100,33
Stu,1,1,T12,Scottie Scheffler,-7,7,18,72,65,68,68,0,0,0,100,33
Alex,20,7,T16,Ryan Gerard,-6,7,18,70,66,69,69,0,0,0,100,33
Dave,15,5,T16,Justin Thomas,-6,7,18,67,67,71,69,0,0,0,100,33
Stu,6,2,T16,Ludvig Aberg,-6,7,18,66,70,69,69,0,0,0,100,33
Stu,22,8,T16,Aaron Rai,-6,7,18,68,71,67,68,0,0,0,100,33
Stu,19,7,T22,J.J. Spaun,-5,7,18,64,66,72,73,0,0,0,100,33
Alex,5,2,T26,Xander Schauffele,-4,1,18,70,66,71,69,0,0,0,100,33
Dave,3,1,T28,Sam Burns,-3,1,18,71,67,68,71,0,0,0,100,33
Stu,7,3,T28,Matt Fitzpatrick,-3,1,18,65,72,69,71,0,0,0,100,33
Dave,21,7,T28,Tom Kim,-3,1,18,72,69,68,68,0,0,0,100,33
Dave,4,2,T28,Hideki Matsuyama,-3,1,18,72,68,70,67,0,0,0,100,33
Dave,9,3,T33,Si Woo Kim,-2,1,18,70,69,70,69,0,0,0,100,33
Stu,12,4,T33,Viktor Hovland,-2,1,18,71,63,72,72,0,0,0,100,33
Alex,8,3,T37,Cameron Young,-1,1,18,71,65,69,74,0,0,0,100,33
Alex,14,5,T41,Jake Knapp,0,1,18,67,72,76,65,0,0,0,100,33
Dave,24,8,T41,Sahith Theegala,0,1,18,71,72,68,69,0,0,0,100,33
Dave,10,4,T47,Tommy Fleetwood,2,1,18,69,69,74,70,0,0,0,100,33
