current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Wyndham Clark,-17,50,4,18,0,64,64,65,70,100,100,100,100,8/23/2026 16:55,BMW Championship,33
2,Patrick Cantlay,-14,25,4,18,-2,67,65,66,68,0,100,100,100,8/23/2026 16:55,BMW Championship,33
3,Rory McIlroy,-13,25,4,18,-1,64,69,65,69,0,100,100,100,8/23/2026 16:55,BMW Championship,33
T4,Chris Gotterup,-12,25,4,18,-1,64,67,68,69,0,100,100,100,8/23/2026 16:55,BMW Championship,33
T4,Collin Morikawa,-12,25,4,18,-2,68,65,67,68,0,100,100,100,8/23/2026 16:55,BMW Championship,33
T4,Gary Woodland,-12,25,4,18,-1,64,65,70,69,0,100,100,100,8/23/2026 16:55,BMW Championship,33
T7,Maverick McNealy,-10,15,4,18,-2,67,66,69,68,0,0,100,100,8/23/2026 16:55,BMW Championship,33
T7,Robert MacIntyre,-10,15,4,18,-5,68,69,68,65,0,0,100,100,8/23/2026 16:55,BMW Championship,33
9,Jacob Bridgeman,-9,15,4,18,-3,66,72,66,67,0,0,100,100,8/23/2026 16:55,BMW Championship,33
T10,Michael Brennan,-8,15,4,18,-1,69,65,69,69,0,0,100,100,8/23/2026 16:55,BMW Championship,33
T10,Sungjae Im,-8,15,4,18,1,67,64,70,71,0,0,100,100,8/23/2026 16:55,BMW Championship,33
T12,Scottie Scheffler,-7,7,4,18,-2,72,65,68,68,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T12,Ryo Hisatsune,-7,7,4,18,1,65,70,67,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T12,Akshay Bhatia,-7,7,4,18,-2,67,68,70,68,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T12,Russell Henley,-7,7,4,18,0,67,66,70,70,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Aaron Rai,-6,7,4,18,-2,68,71,67,68,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Adam Scott,-6,7,4,18,-3,68,68,71,67,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Alex Smalley,-6,7,4,18,-3,69,68,70,67,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Justin Thomas,-6,7,4,18,-1,67,67,71,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Ludvig Aberg,-6,7,4,18,-1,66,70,69,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T16,Ryan Gerard,-6,7,4,18,-1,70,66,69,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T22,J.T. Poston,-5,7,4,18,-4,70,70,69,66,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T22,Justin Rose,-5,7,4,18,-4,69,67,73,66,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T22,Kristoffer Reitan,-5,7,4,18,-3,67,67,74,67,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T22,J.J. Spaun,-5,7,4,18,3,64,66,72,73,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T26,Xander Schauffele,-4,1,4,18,-1,70,66,71,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T26,Kurt Kitayama,-4,1,4,18,-2,72,68,68,68,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T28,Matt Fitzpatrick,-3,1,4,18,1,65,72,69,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T28,Sam Burns,-3,1,4,18,1,71,67,68,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T28,Tom Kim,-3,1,4,18,-2,72,69,68,68,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T28,Eric Cole,-3,1,4,18,5,67,68,67,75,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T28,Hideki Matsuyama,-3,1,4,18,-3,72,68,70,67,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T33,Sepp Straka,-2,1,4,18,2,73,68,65,72,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T33,Viktor Hovland,-2,1,4,18,2,71,63,72,72,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T33,Matt McCarty,-2,1,4,18,1,70,67,70,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T33,Si Woo Kim,-2,1,4,18,-1,70,69,70,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T37,Rickie Fowler,-1,1,4,18,0,71,69,69,70,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T37,Alex Noren,-1,1,4,18,4,71,69,65,74,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T37,Cameron Young,-1,1,4,18,4,71,65,69,74,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T37,Michael Thorbjornsen,-1,1,4,18,2,66,66,75,72,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T41,Jake Knapp,0,1,4,18,-5,67,72,76,65,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T41,Sahith Theegala,0,1,4,18,-1,71,72,68,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T41,Nicolai Hojgaard,0,1,4,18,1,73,71,65,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T44,Ben Griffin,1,1,4,18,2,68,73,68,72,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T44,Bud Cauley,1,1,4,18,1,73,69,68,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T44,Alex Fitzpatrick,1,1,4,18,2,66,72,71,72,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T47,Min Woo Lee,2,1,4,18,1,69,72,70,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T47,Ryan Fox,2,1,4,18,1,71,69,71,71,0,0,0,100,8/23/2026 16:55,BMW Championship,33
T47,Tommy Fleetwood,2,1,4,18,0,69,69,74,70,0,0,0,100,8/23/2026 16:55,BMW Championship,33
50,Nico Echavarria,5,1,4,18,-1,69,74,73,69,0,0,0,100,8/23/2026 16:55,BMW Championship,33
