Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Rory McIlroy
3,1,Dave,Sam Burns
4,2,Dave,Hideki Matsuyama
5,2,Alex,Xander Schauffele
6,2,Stu,Ludvig Aberg
7,3,Stu,Matt Fitzpatrick
8,3,Alex,Cameron Young
9,3,Dave,Si Woo Kim
10,4,Dave,Tommy Fleetwood
11,4,Alex,Chris Gotterup
12,4,Stu,Viktor Hovland
13,5,Stu,Russell Henley
14,5,Alex,Jake Knapp
15,5,Dave,Justin Thomas
16,6,Dave,Wyndham Clark
17,6,Alex,Patrick Cantlay
18,6,Stu,Collin Morikawa
19,7,Stu,J.J. Spaun
20,7,Alex,Ryan Gerard
21,7,Dave,Tom Kim
22,8,Stu,Aaron Rai
23,8,Alex,Ryo Hisatsune
24,8,Dave,Sahith Theegala
