Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,12,4,2,Cameron Young,-9,25,18,67,67,73,64,0,100,100,100,28
Stu,1,1,T4,Scottie Scheffler,-7,25,18,68,68,70,67,0,100,100,100,28
Alex,5,2,T4,Tommy Fleetwood,-7,25,18,69,67,69,68,0,100,100,100,28
Dave,16,6,T6,Si Woo Kim,-6,15,18,68,67,67,72,0,0,100,100,28
Alex,14,5,T9,Russell Henley,-5,15,18,70,71,68,66,0,0,100,100,28
Stu,19,7,T9,Ludvig Aberg,-5,15,18,71,66,67,71,0,0,100,100,28
Stu,7,3,T18,Xander Schauffele,-3,7,18,71,69,66,71,0,0,0,100,28
Dave,9,3,T18,Chris Gotterup,-3,7,18,70,68,72,67,0,0,0,100,28
Dave,4,2,T18,Collin Morikawa,-3,7,18,68,70,70,69,0,0,0,100,28
Alex,8,3,T28,Robert MacIntyre,-2,1,18,67,69,71,71,0,0,0,100,28
Dave,3,1,T40,Rory McIlroy,-1,1,18,72,67,69,71,0,0,0,100,28
Alex,11,4,T46,Jon Rahm,0,1,18,69,67,70,74,0,0,0,100,28
Alex,23,8,T46,Eugenio Chacarra,0,1,18,70,70,71,69,0,0,0,100,28
Dave,24,8,T53,Sahith Theegala,1,1,18,71,69,68,73,0,0,0,100,28
Alex,20,7,CUT,Cameron Smith,2,0,0,73,69,,,0,0,0,0,28
Dave,15,5,T59,Min Woo Lee,2,1,18,70,71,71,70,0,0,0,100,28
Alex,17,6,CUT,Tom Kim,3,0,0,70,73,,,0,0,0,0,28
Stu,18,6,CUT,Justin Rose,3,0,0,75,68,,,0,0,0,0,28
Stu,6,2,CUT,Wyndham Clark,3,0,0,73,70,,,0,0,0,0,28
Alex,2,1,CUT,Matt Fitzpatrick,4,0,0,72,72,,,0,0,0,0,28
Dave,21,7,CUT,Joaquin Niemann,4,0,0,76,68,,,0,0,0,0,28
Dave,10,4,CUT,Viktor Hovland,4,0,0,70,74,,,0,0,0,0,28
Stu,13,5,T69,Tyrrell Hatton,5,1,18,69,68,74,74,0,0,0,100,28
Stu,22,8,CUT,Gary Woodland,9,0,0,78,71,,,0,0,0,0,28
