current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Ryan Fox,-10,50,4,18,-2,72,68,62,68,100,100,100,100,7/19/2026 18:40,The Open Championship,28
2,Cameron Young,-9,25,4,18,-6,67,67,73,64,0,100,100,100,7/19/2026 18:40,The Open Championship,28
3,Sam Burns,-8,25,4,18,2,73,62,65,72,0,100,100,100,7/19/2026 18:40,The Open Championship,28
T4,Tommy Fleetwood,-7,25,4,18,-2,69,67,69,68,0,100,100,100,7/19/2026 18:40,The Open Championship,28
T4,Scottie Scheffler,-7,25,4,18,-3,68,68,70,67,0,100,100,100,7/19/2026 18:40,The Open Championship,28
T6,Lucas Herbert,-6,15,4,18,1,70,62,71,71,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T6,Casey Jarvis,-6,15,4,18,-4,73,67,68,66,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T6,Si Woo Kim,-6,15,4,18,2,68,67,67,72,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T9,Adam Scott,-5,15,4,18,-4,72,66,71,66,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T9,Russell Henley,-5,15,4,18,-4,70,71,68,66,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T9,Rasmus Neergaard-Petersen,-5,15,4,18,0,72,66,67,70,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T9,Ludvig Aberg,-5,15,4,18,1,71,66,67,71,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T9,Ryan Gerard,-5,15,4,18,2,67,67,69,72,0,0,100,100,7/19/2026 18:40,The Open Championship,28
T14,Sungjae Im,-4,7,4,18,-1,66,72,69,69,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T14,Bryson DeChambeau,-4,7,4,18,2,67,68,69,72,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T14,Corey Conners,-4,7,4,18,-3,71,67,71,67,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T14,Hideki Matsuyama,-4,7,4,18,0,72,67,67,70,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Xander Schauffele,-3,7,4,18,1,71,69,66,71,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Marco Penge,-3,7,4,18,-2,72,68,69,68,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Jordan Smith,-3,7,4,18,-1,68,70,70,69,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Chris Gotterup,-3,7,4,18,-3,70,68,72,67,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Kristoffer Reitan,-3,7,4,18,-1,69,71,68,69,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Alex Noren,-3,7,4,18,-2,71,69,69,68,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Collin Morikawa,-3,7,4,18,-1,68,70,70,69,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Bud Cauley,-3,7,4,18,-2,68,68,73,68,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Dan Brown,-3,7,4,18,1,66,71,69,71,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T18,Rickie Fowler,-3,7,4,18,-4,71,69,71,66,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T28,Patrick Cantlay,-2,1,4,18,-2,71,68,71,68,0,0,0,100,7/19/2026 18:40,The Open Championship,28
T28,Pierceson Coody,-2,1,4,18,-1,67,70,72,69,0,0,0,100,7/19/2026 18:40,The Open Championship,28
