Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Matt Fitzpatrick
3,1,Dave,Rory McIlroy
4,2,Dave,Collin Morikawa
5,2,Alex,Tommy Fleetwood
6,2,Stu,Wyndham Clark
7,3,Stu,Xander Schauffele
8,3,Alex,Robert MacIntyre
9,3,Dave,Chris Gotterup
10,4,Dave,Viktor Hovland
11,4,Alex,Jon Rahm
12,4,Stu,Cameron Young
13,5,Stu,Tyrrell Hatton
14,5,Alex,Russell Henley
15,5,Dave,Min Woo Lee
16,6,Dave,Si Woo Kim
17,6,Alex,Tom Kim
18,6,Stu,Justin Rose
19,7,Stu,Ludvig Aberg
20,7,Alex,Cameron Smith
21,7,Dave,Joaquin Niemann
22,8,Stu,Gary Woodland
23,8,Alex,Eugenio Chacarra
24,8,Dave,Sahith Theegala
