Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,13,5,1,Wyndham Clark,-30,50,18,66,63,65,60,100,100,100,100,20
Alex,2,1,2,Si Woo Kim,-27,25,18,64,60,68,65,0,100,100,100,20
Dave,1,1,3,Scottie Scheffler,-25,25,18,66,63,65,65,0,100,100,100,20
Dave,12,4,5,Keith Mitchell,-22,25,18,64,66,68,64,0,100,100,100,20
Dave,22,8,T6,Tony Finau,-20,15,18,67,63,69,65,0,0,100,100,20
Stu,16,6,T9,Sungjae Im,-19,15,18,68,61,67,69,0,0,100,100,20
Alex,14,5,T9,Max Greyserman,-19,15,18,71,62,65,67,0,0,100,100,20
Stu,4,2,T14,Brooks Koepka,-18,7,18,63,69,66,68,0,0,0,100,20
Stu,9,3,T14,Blades Brown,-18,7,18,66,68,65,67,0,0,0,100,20
Stu,3,1,T19,Jordan Spieth,-15,7,18,68,62,73,66,0,0,0,100,20
Dave,6,2,T19,Ryo Hisatsune,-15,7,18,67,68,65,69,0,0,0,100,20
Alex,5,2,T19,Pierceson Coody,-15,7,18,68,65,69,67,0,0,0,100,20
Alex,17,6,T19,Rico Hoey,-15,7,18,67,66,68,68,0,0,0,100,20
Alex,23,8,T19,Rasmus Neergaard-Petersen,-15,7,18,66,66,68,69,0,0,0,100,20
Alex,20,7,T31,Mac Meissner,-14,1,18,68,64,71,67,0,0,0,100,20
Stu,21,7,T31,Eric Cole,-14,1,18,68,67,70,65,0,0,0,100,20
Stu,10,4,T40,Austin Eckroat,-12,1,18,65,71,65,71,0,0,0,100,20
Stu,24,8,T47,John Parry,-11,1,18,68,66,70,69,0,0,0,100,20
Stu,15,5,T47,Taylor Pendrith,-11,1,18,67,67,71,68,0,0,0,100,20
Dave,18,6,T54,Tom Kim,-10,1,18,68,67,69,70,0,0,0,100,20
Alex,8,3,CUT,Michael Thorbjornsen,-5,0,0,64,73,,,0,0,0,0,20
Alex,11,4,CUT,Michael Brennan,-5,0,0,68,69,,,0,0,0,0,20
Dave,19,7,CUT,Matti Schmid,-3,0,0,70,69,,,0,0,0,0,20
Dave,7,3,CUT,Davis Thompson,0,0,0,69,73,,,0,0,0,0,20
