Pick,Round,Drafter,Player
1,1,Dave,Scottie Scheffler
2,1,Alex,Si Woo Kim
3,1,Stu,Jordan Spieth
4,2,Stu,Brooks Koepka
5,2,Alex,Pierceson Coody
6,2,Dave,Ryo Hisatsune
7,3,Dave,Davis Thompson
8,3,Alex,Michael Thorbjornsen
9,3,Stu,Blades Brown
10,4,Stu,Austin Eckroat
11,4,Alex,Michael Brennan
12,4,Dave,Keith Mitchell
13,5,Dave,Wyndham Clark
14,5,Alex,Max Greyserman
15,5,Stu,Taylor Pendrith
16,6,Stu,Sungjae Im
17,6,Alex,Rico Hoey
18,6,Dave,Tom Kim
19,7,Dave,Matti Schmid
20,7,Alex,Mac Meissner
21,7,Stu,Eric Cole
22,8,Dave,Tony Finau
23,8,Alex,Rasmus Neergaard-Petersen
24,8,Stu,John Parry
