Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,2,1,1,Cameron Young,-19,50,18,64,67,70,68,100,100,100,100,17
Alex,1,1,2,Scottie Scheffler,-13,25,18,71,67,69,68,0,100,100,100,17
Stu,14,5,T4,Adam Scott,-11,25,18,76,71,66,64,0,100,100,100,17
Stu,11,4,T4,Si Woo Kim,-11,25,18,70,68,69,70,0,100,100,100,17
Dave,16,6,T9,Kurt Kitayama,-9,15,18,76,64,72,67,0,0,100,100,17
Stu,23,8,T9,Alex Fitzpatrick,-9,15,18,72,66,74,67,0,0,100,100,17
Stu,8,3,T18,Min Woo Lee,-7,7,18,70,72,71,68,0,0,0,100,17
Alex,13,5,T23,Akshay Bhatia,-6,7,18,70,72,67,73,0,0,0,100,17
Alex,18,6,T23,Nicolai Hojgaard,-6,7,18,75,68,73,66,0,0,0,100,17
Alex,6,2,T23,Tommy Fleetwood,-6,7,18,70,70,75,67,0,0,0,100,17
Alex,12,4,T30,Corey Conners,-5,1,18,73,69,74,67,0,0,0,100,17
Dave,10,4,T38,Viktor Hovland,-4,1,18,75,71,72,66,0,0,0,100,17
Alex,19,7,T38,Pierceson Coody,-4,1,18,72,72,70,70,0,0,0,100,17
Stu,20,7,T38,Gary Woodland,-4,1,18,68,69,77,70,0,0,0,100,17
Dave,9,3,T38,Sam Burns,-4,1,18,76,68,72,68,0,0,0,100,17
Dave,3,1,T38,Chris Gotterup,-4,1,18,73,71,69,71,0,0,0,100,17
Stu,5,2,T49,Russell Henley,-3,1,18,72,70,70,73,0,0,0,100,17
Alex,7,3,T53,Hideki Matsuyama,-2,1,18,70,71,74,71,0,0,0,100,17
Dave,15,5,T55,Harris English,-1,1,18,74,72,72,69,0,0,0,100,17
Dave,4,2,T62,Collin Morikawa,1,1,18,75,72,70,72,0,0,0,100,17
Dave,24,8,T62,Joel Dahmen,1,1,18,75,73,70,71,0,0,0,100,17
Stu,17,6,T65,Justin Rose,2,1,18,74,75,73,68,0,0,0,100,17
Alex,22,8,T65,Sungjae Im,2,1,18,70,77,73,70,0,0,0,100,17
Dave,21,7,T65,Jacob Bridgeman,2,1,18,79,71,68,72,0,0,0,100,17
