current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Cameron Young,-19,50,4,18,-4,64,67,70,68,100,100,100,100,5/3/2026 16:35,Cadillac Championship,17
2,Scottie Scheffler,-13,25,4,18,-4,71,67,69,68,0,100,100,100,5/3/2026 16:35,Cadillac Championship,17
3,Ben Griffin,-12,25,4,18,-4,70,70,68,68,0,100,100,100,5/3/2026 16:35,Cadillac Championship,17
T4,Si Woo Kim,-11,25,4,18,-2,70,68,69,70,0,100,100,100,5/3/2026 16:35,Cadillac Championship,17
T4,Sepp Straka,-11,25,4,18,-6,70,73,68,66,0,100,100,100,5/3/2026 16:35,Cadillac Championship,17
T4,Adam Scott,-11,25,4,18,-8,76,71,66,64,0,100,100,100,5/3/2026 16:35,Cadillac Championship,17
T7,Alex Noren,-10,15,4,18,-3,74,69,66,69,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T7,Alex Smalley,-10,15,4,18,-3,65,71,73,69,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T9,Kurt Kitayama,-9,15,4,18,-5,76,64,72,67,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T9,Rickie Fowler,-9,15,4,18,-4,69,70,72,68,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T9,Matt McCarty,-9,15,4,18,-1,69,70,69,71,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T9,Alex Fitzpatrick,-9,15,4,18,-5,72,66,74,67,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T9,Nick Taylor,-9,15,4,18,-1,66,70,72,71,0,0,100,100,5/3/2026 16:35,Cadillac Championship,17
T14,Kristoffer Reitan,-8,7,4,18,1,70,68,69,73,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T14,J.J. Spaun,-8,7,4,18,-5,72,69,72,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T14,Aldrich Potgieter,-8,7,4,18,-4,69,71,72,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T14,Lucas Glover,-8,7,4,18,-5,72,70,71,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T18,Min Woo Lee,-7,7,4,18,-4,70,72,71,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T18,Michael Kim,-7,7,4,18,-1,74,71,65,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T18,Jordan Spieth,-7,7,4,18,-2,65,71,75,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T18,Sam Stevens,-7,7,4,18,-6,71,71,73,66,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T18,Andrew Putnam,-7,7,4,18,-2,68,71,72,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Nicolai Hojgaard,-6,7,4,18,-6,75,68,73,66,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Shane Lowry,-6,7,4,18,-7,72,75,70,65,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Justin Thomas,-6,7,4,18,-3,70,73,70,69,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Tommy Fleetwood,-6,7,4,18,-5,70,70,75,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Daniel Berger,-6,7,4,18,-2,76,68,68,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Akshay Bhatia,-6,7,4,18,1,70,72,67,73,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T23,Matt Wallace,-6,7,4,18,-6,74,71,71,66,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Ryan Gerard,-5,1,4,18,-2,72,72,69,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Maverick McNealy,-5,1,4,18,-5,71,74,71,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Harry Hall,-5,1,4,18,-1,71,69,72,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Denny McCarthy,-5,1,4,18,-2,71,71,71,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Sahith Theegala,-5,1,4,18,-8,69,76,74,64,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Corey Conners,-5,1,4,18,-5,73,69,74,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Ryan Fox,-5,1,4,18,-4,72,71,72,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T30,Sudarshan Yellamaraju,-5,1,4,18,-4,74,66,75,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Taylor Pendrith,-4,1,4,18,-2,71,67,76,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Gary Woodland,-4,1,4,18,-2,68,69,77,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Max Greyserman,-4,1,4,18,-4,72,72,72,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Jason Day,-4,1,4,18,-4,77,70,69,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Brian Harman,-4,1,4,18,0,68,70,74,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Bud Cauley,-4,1,4,18,-5,69,71,77,67,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Pierceson Coody,-4,1,4,18,-2,72,72,70,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Chris Gotterup,-4,1,4,18,-1,73,71,69,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Viktor Hovland,-4,1,4,18,-6,75,71,72,66,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Sam Burns,-4,1,4,18,-4,76,68,72,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T38,Max Homa,-4,1,4,18,-2,70,72,72,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T49,J.T. Poston,-3,1,4,18,-4,71,68,78,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T49,Russell Henley,-3,1,4,18,1,72,70,70,73,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T49,Brian Campbell,-3,1,4,18,-2,70,73,72,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T49,Keegan Bradley,-3,1,4,18,-1,72,73,69,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T53,Hideki Matsuyama,-2,1,4,18,-1,70,71,74,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T53,Michael Thorbjornsen,-2,1,4,18,0,74,71,69,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T55,Jordan Smith,-1,1,4,18,-3,73,73,72,69,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T55,Ricky Castillo,-1,1,4,18,-1,73,71,72,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T55,Harris English,-1,1,4,18,-3,74,72,72,69,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T55,Nico Echavarria,-1,1,4,18,-4,67,73,79,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T55,Keith Mitchell,-1,1,4,18,-7,74,72,76,65,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T60,Austin Smotherman,0,1,4,18,-6,77,69,76,66,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T60,Jhonattan Vegas,0,1,4,18,-3,75,70,74,69,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T62,Joel Dahmen,1,1,4,18,-1,75,73,70,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T62,Collin Morikawa,1,1,4,18,0,75,72,70,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T62,Tom Hoge,1,1,4,18,0,69,74,74,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Ryo Hisatsune,2,1,4,18,0,72,77,69,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Justin Rose,2,1,4,18,-4,74,75,73,68,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Patrick Rodgers,2,1,4,18,2,71,76,69,74,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Jacob Bridgeman,2,1,4,18,0,79,71,68,72,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Andrew Novak,2,1,4,18,-3,71,78,72,69,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
T65,Sungjae Im,2,1,4,18,-2,70,77,73,70,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
71,David Lipsky,4,1,4,18,-1,71,75,75,71,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
72,Chandler Blanchet,7,1,4,18,4,75,72,72,76,0,0,0,100,5/3/2026 16:35,Cadillac Championship,17
