Pick,Round,Drafter,Player
1,1,Alex,Scottie Scheffler
2,1,Stu,Cameron Young
3,1,Dave,Chris Gotterup
4,2,Dave,Collin Morikawa
5,2,Stu,Russell Henley
6,2,Alex,Tommy Fleetwood
7,3,Alex,Hideki Matsuyama
8,3,Stu,Min Woo Lee
9,3,Dave,Sam Burns
10,4,Dave,Viktor Hovland
11,4,Stu,Si Woo Kim
12,4,Alex,Corey Conners
13,5,Alex,Akshay Bhatia
14,5,Stu,Adam Scott
15,5,Dave,Harris English
16,6,Dave,Kurt Kitayama
17,6,Stu,Justin Rose
18,6,Alex,Nicolai Hojgaard
19,7,Alex,Pierceson Coody
20,7,Stu,Gary Woodland
21,7,Dave,Jacob Bridgeman
22,8,Alex,Sungjae Im
23,8,Stu,Alex Fitzpatrick
24,8,Dave,Joel Dahmen
