Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,13,5,1,Bud Cauley,-17,50,18,69,63,66,65,100,100,100,100,23
Alex,3,1,2,Matt Fitzpatrick,-15,25,18,67,68,66,64,0,100,100,100,23
Dave,8,3,3,Viktor Hovland,-14,25,18,68,69,64,65,0,100,100,100,23
Alex,24,8,T4,Jackson Suber,-13,25,18,66,65,66,70,0,100,100,100,23
Dave,17,6,T8,Sudarshan Yellamaraju,-12,15,18,69,66,65,68,0,0,100,100,23
Stu,19,7,T8,Ryan Fox,-12,15,18,66,66,68,68,0,0,100,100,23
Stu,1,1,T11,Tommy Fleetwood,-11,7,18,67,65,67,70,0,0,0,100,23
Alex,4,2,T11,Wyndham Clark,-11,7,18,68,68,63,70,0,0,0,100,23
Alex,15,5,T15,Robert MacIntyre,-10,7,18,68,66,67,69,0,0,0,100,23
Stu,22,8,T20,Keita Nakajima,-9,7,18,71,66,70,64,0,0,0,100,23
Dave,2,1,T20,Sam Burns,-9,7,18,64,67,69,71,0,0,0,100,23
Dave,23,8,T20,Emiliano Grillo,-9,7,18,64,69,72,66,0,0,0,100,23
Stu,12,4,T20,Alex Fitzpatrick,-9,7,18,68,67,70,66,0,0,0,100,23
Dave,5,2,T29,Collin Morikawa,-8,1,18,70,65,68,69,0,0,0,100,23
Alex,21,7,T54,Michael Thorbjornsen,-3,1,18,69,68,69,71,0,0,0,100,23
Stu,7,3,CUT,Aaron Rai,-1,0,0,69,70,,,0,0,0,0,23
Alex,9,3,T60,Kristoffer Reitan,-1,1,18,68,70,70,71,0,0,0,100,23
Stu,6,2,WD,Brooks Koepka,0,0,0,64,68,72,,0,0,0,0,23
Dave,20,7,CUT,Max Greyserman,0,0,0,69,71,,,0,0,0,0,23
Dave,11,4,T65,Nick Taylor,0,1,18,67,71,78,64,0,0,0,100,23
Stu,18,6,CUT,Eric Cole,0,0,0,64,76,,,0,0,0,0,23
Alex,10,4,CUT,Nicolai Hojgaard,2,0,0,69,73,,,0,0,0,0,23
Dave,14,5,CUT,Justin Rose,2,0,0,70,72,,,0,0,0,0,23
Alex,16,6,CUT,Michael Brennan,4,0,0,70,74,,,0,0,0,0,23
