current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Bud Cauley,-17,50,4,18,-5,69,63,66,65,100,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
2,Matt Fitzpatrick,-15,25,4,18,-6,67,68,66,64,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
3,Viktor Hovland,-14,25,4,18,-5,68,69,64,65,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
T4,Brice Garnett,-13,25,4,18,-2,65,67,67,68,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
T4,Jackson Suber,-13,25,4,18,0,66,65,66,70,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
T4,Jimmy Stanger,-13,25,4,18,-3,65,67,68,67,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
T4,Jesper Svensson,-13,25,4,18,-2,66,65,68,68,0,100,100,100,6/14/2026 18:05,RBC Canadian Open,23
T8,Ryan Fox,-12,15,4,18,-2,66,66,68,68,0,0,100,100,6/14/2026 18:05,RBC Canadian Open,23
T8,Sudarshan Yellamaraju,-12,15,4,18,-2,69,66,65,68,0,0,100,100,6/14/2026 18:05,RBC Canadian Open,23
T8,Aldrich Potgieter,-12,15,4,18,-5,66,67,70,65,0,0,100,100,6/14/2026 18:05,RBC Canadian Open,23
T11,Matthew Anderson,-11,7,4,18,-3,64,69,69,67,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T11,Tommy Fleetwood,-11,7,4,18,0,67,65,67,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T11,Wyndham Clark,-11,7,4,18,0,68,68,63,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T11,Jacob Bridgeman,-11,7,4,18,-2,70,67,64,68,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T15,Doug Ghim,-10,7,4,18,-3,65,69,69,67,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T15,Billy Horschel,-10,7,4,18,0,66,70,64,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T15,Robert MacIntyre,-10,7,4,18,-1,68,66,67,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T15,Tom Kim,-10,7,4,18,-4,67,69,68,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T15,Chandler Phillips,-10,7,4,18,-4,67,68,69,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Erik Van Rooyen,-9,7,4,18,-4,65,71,69,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Emiliano Grillo,-9,7,4,18,-4,64,69,72,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Max Homa,-9,7,4,18,-1,68,67,67,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Keita Nakajima,-9,7,4,18,-6,71,66,70,64,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,William Mouw,-9,7,4,18,-1,68,66,68,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Alex Fitzpatrick,-9,7,4,18,-4,68,67,70,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Matthieu Pavon,-9,7,4,18,-4,67,71,67,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,David Skinns,-9,7,4,18,0,65,71,65,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T20,Sam Burns,-9,7,4,18,1,64,67,69,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Takumi Kanaya,-8,1,4,18,-4,68,69,69,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Shane Lowry,-8,1,4,18,1,65,69,67,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Collin Morikawa,-8,1,4,18,-1,70,65,68,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Patrick Fishburn,-8,1,4,18,-5,65,69,73,65,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Keith Mitchell,-8,1,4,18,-1,67,64,72,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Kevin Yu,-8,1,4,18,-2,69,66,69,68,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,A.J. Ewart,-8,1,4,18,-4,69,68,69,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Ben Kohles,-8,1,4,18,-2,67,71,66,68,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Taylor Pendrith,-8,1,4,18,-1,66,67,70,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T29,Justin Matthews,-8,1,4,18,-1,67,70,66,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
39,Rasmus Neergaard-Petersen,-7,1,4,18,-2,69,69,67,68,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T40,Taylor Moore,-6,1,4,18,1,67,70,66,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T40,Harry Hall,-6,1,4,18,-1,66,67,72,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T40,Tony Finau,-6,1,4,18,0,65,73,66,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T40,Alejandro Tosti,-6,1,4,18,1,66,69,68,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T40,Adam Hadwin,-6,1,4,18,1,69,68,66,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Beau Hossler,-5,1,4,18,0,68,69,68,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Sam Ryder,-5,1,4,18,1,65,73,66,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Dylan Wu,-5,1,4,18,-2,68,68,71,68,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Davis Thompson,-5,1,4,18,0,68,68,69,70,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Sahith Theegala,-5,1,4,18,4,64,69,68,74,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T45,Ricky Castillo,-5,1,4,18,-3,65,71,72,67,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T51,Neal Shipley,-4,1,4,18,2,68,70,66,72,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T51,Max McGreevy,-4,1,4,18,2,66,68,70,72,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T51,Johnny Keefer,-4,1,4,18,-1,66,68,73,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T54,Christiaan Bezuidenhout,-3,1,4,18,1,67,70,69,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T54,Luke Clanton,-3,1,4,18,5,69,66,67,75,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T54,Michael Thorbjornsen,-3,1,4,18,1,69,68,69,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T54,Ben Silverman,-3,1,4,18,1,68,69,69,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T54,Ben James,-3,1,4,18,-1,67,63,78,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
59,Calen Sanderson,-2,1,4,18,-4,70,68,74,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T60,Kristoffer Reitan,-1,1,4,18,1,68,70,70,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T60,Adam Svensson,-1,1,4,18,1,65,72,71,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T60,Denny McCarthy,-1,1,4,18,1,69,69,70,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T60,Lanto Griffin,-1,1,4,18,-4,68,70,75,66,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
T60,Haotong Li,-1,1,4,18,-1,67,64,79,69,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
CUT,Aaron Rai,-1,0,2,0,0,69,70,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Garrick Higgo,-1,0,2,0,0,67,72,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Vince Covello,-1,0,2,0,0,69,70,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,David Lipsky,-1,0,2,0,0,69,70,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Tom Hoge,-1,0,2,0,0,70,69,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Declan O'Donovan,-1,0,2,0,0,70,69,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Matti Schmid,-1,0,2,0,0,67,72,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Chris Kirk,-1,0,2,0,0,71,68,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Matt Wallace,-1,0,2,0,0,66,73,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Jhonattan Vegas,-1,0,2,0,0,67,72,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Roger Sloan,-1,0,2,0,0,68,71,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Danny Willett,-1,0,2,0,0,66,73,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Seamus Power,-1,0,2,0,0,71,68,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Dan Brown,-1,0,2,0,0,67,72,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Kris Ventura,0,0,2,0,0,69,71,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
T65,Nick Taylor,0,1,4,18,-6,67,71,78,64,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
CUT,Corey Conners,0,0,2,0,0,71,69,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Eric Cole,0,0,2,0,0,64,76,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Ashton McCulloch,0,0,2,0,0,70,70,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Max Greyserman,0,0,2,0,0,69,71,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Thorbjorn Olesen,0,0,2,0,0,71,69,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Davis Riley,0,0,2,0,0,66,74,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Karl Vilips,0,0,2,0,0,69,71,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
T65,Vince Whaley,0,1,4,18,1,67,71,71,71,0,0,0,100,6/14/2026 18:05,RBC Canadian Open,23
WD,Paul Waring,0,0,1,0,0,,,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
WD,Brooks Koepka,0,0,4,0,0,64,68,72,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Zach Bauchou,1,0,2,0,0,69,72,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
CUT,Austin Smotherman,1,0,2,0,0,71,70,,,0,0,0,0,6/14/2026 18:05,RBC Canadian Open,23
