Pick,Round,Drafter,Player
1,1,Stu,Tommy Fleetwood
2,1,Dave,Sam Burns
3,1,Alex,Matt Fitzpatrick
4,2,Alex,Wyndham Clark
5,2,Dave,Collin Morikawa
6,2,Stu,Brooks Koepka
7,3,Stu,Aaron Rai
8,3,Dave,Viktor Hovland
9,3,Alex,Kristoffer Reitan
10,4,Alex,Nicolai Hojgaard
11,4,Dave,Nick Taylor
12,4,Stu,Alex Fitzpatrick
13,5,Stu,Bud Cauley
14,5,Dave,Justin Rose
15,5,Alex,Robert MacIntyre
16,6,Alex,Michael Brennan
17,6,Dave,Sudarshan Yellamaraju
18,6,Stu,Eric Cole
19,7,Stu,Ryan Fox
20,7,Dave,Max Greyserman
21,7,Alex,Michael Thorbjornsen
22,8,Stu,Keita Nakajima
23,8,Dave,Emiliano Grillo
24,8,Alex,Jackson Suber
