Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,3,1,1,Russell Henley,-12,50,18,66,66,69,67,100,100,100,100,21
Stu,6,2,T3,Ben Griffin,-11,25,18,68,68,68,65,0,100,100,100,21
Stu,7,3,T3,Alex Smalley,-11,25,18,65,67,69,68,0,100,100,100,21
Dave,10,4,T6,J.J. Spaun,-10,15,18,64,68,68,70,0,0,100,100,21
Alex,23,8,T6,Nico Echavarria,-10,15,18,66,71,65,68,0,0,100,100,21
Dave,21,7,T10,Ryan Gerard,-9,15,18,64,67,68,72,0,0,100,100,21
Alex,2,1,T13,Justin Thomas,-8,7,18,69,67,67,69,0,0,0,100,21
Stu,18,6,T13,Hideki Matsuyama,-8,7,18,66,65,70,71,0,0,0,100,21
Stu,1,1,T17,Ludvig Aberg,-6,7,18,66,68,69,71,0,0,0,100,21
Alex,8,3,T28,Akshay Bhatia,-4,1,18,67,65,71,73,0,0,0,100,21
Dave,16,6,CUT,Sudarshan Yellamaraju,-1,0,0,71,68,,,0,0,0,0,21
Alex,5,2,T42,Robert MacIntyre,-1,1,18,68,68,70,73,0,0,0,100,21
Alex,20,7,T54,Andrew Novak,0,1,18,69,65,73,73,0,0,0,100,21
Stu,12,4,CUT,Tony Finau,0,0,0,70,70,,,0,0,0,0,21
Dave,9,3,CUT,Keith Mitchell,0,0,0,71,69,,,0,0,0,0,21
Dave,24,8,CUT,Neal Shipley,0,0,0,71,69,,,0,0,0,0,21
Dave,15,5,T60,Sahith Theegala,1,1,18,67,70,71,73,0,0,0,100,21
Alex,17,6,T60,Matt McCarty,1,1,18,64,71,75,71,0,0,0,100,21
Stu,19,7,CUT,Harry Hall,2,0,0,68,74,,,0,0,0,0,21
Alex,14,5,66,Ryo Hisatsune,2,1,18,66,68,79,69,0,0,0,100,21
Dave,4,2,CUT,Rickie Fowler,3,0,0,70,73,,,0,0,0,0,21
Alex,11,4,CUT,Max Greyserman,5,0,0,74,71,,,0,0,0,0,21
Stu,22,8,T71,Davis Riley,5,1,18,66,71,73,75,0,0,0,100,21
Stu,13,5,CUT,Sungjae Im,6,0,0,70,76,,,0,0,0,0,21
