current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
2,Eric Cole,-12,25,4,18,0,67,68,63,70,0,100,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
1,Russell Henley,-12,50,4,18,-3,66,66,69,67,100,100,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T3,Ben Griffin,-11,25,4,18,-5,68,68,68,65,0,100,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T3,Mac Meissner,-11,25,4,18,-1,66,67,67,69,0,100,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T3,Alex Smalley,-11,25,4,18,-2,65,67,69,68,0,100,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T6,Michael Brennan,-10,15,4,18,-2,67,66,69,68,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T6,Nico Echavarria,-10,15,4,18,-2,66,71,65,68,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T6,J.J. Spaun,-10,15,4,18,0,64,68,68,70,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T6,Gary Woodland,-10,15,4,18,-3,65,69,69,67,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T10,Mackenzie Hughes,-9,15,4,18,-1,66,67,69,69,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T10,Steven Fisk,-9,15,4,18,-5,68,69,69,65,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T10,Ryan Gerard,-9,15,4,18,2,64,67,68,72,0,0,100,100,5/31/2026 17:04,Charles Schwab Challenge,21
T13,Jordan Smith,-8,7,4,18,-2,65,65,74,68,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T13,Justin Thomas,-8,7,4,18,-1,69,67,67,69,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T13,Hideki Matsuyama,-8,7,4,18,1,66,65,70,71,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
16,Michael Thorbjornsen,-7,7,4,18,1,66,65,71,71,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T17,Andrew Putnam,-6,7,4,18,0,64,70,70,70,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T17,Ludvig Aberg,-6,7,4,18,1,66,68,69,71,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T17,Rico Hoey,-6,7,4,18,-4,68,69,71,66,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T17,Michael Kim,-6,7,4,18,-2,70,67,69,68,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T17,A.J. Ewart,-6,7,4,18,0,70,63,71,70,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Brice Garnett,-5,7,4,18,-1,66,66,74,69,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Zach Bauchou,-5,7,4,18,-1,71,66,69,69,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Pierceson Coody,-5,7,4,18,-1,71,67,68,69,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Max Homa,-5,7,4,18,-3,66,71,71,67,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Brian Harman,-5,7,4,18,2,65,66,72,72,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T22,Matt Kuchar,-5,7,4,18,0,67,68,70,70,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T28,Keita Nakajima,-4,1,4,18,0,69,66,71,70,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T28,Doug Ghim,-4,1,4,18,3,65,69,69,73,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T28,Brandt Snedeker,-4,1,4,18,-2,70,68,70,68,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T28,Akshay Bhatia,-4,1,4,18,3,67,65,71,73,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T32,Christiaan Bezuidenhout,-3,1,4,18,4,68,68,67,74,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T32,Lanto Griffin,-3,1,4,18,-3,71,67,72,67,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T32,Garrick Higgo,-3,1,4,18,-2,69,65,75,68,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T35,Kevin Yu,-2,1,4,18,1,65,70,72,71,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
T35,Davis Thompson,-2,1,4,18,2,69,67,70,72,0,0,0,100,5/31/2026 17:04,Charles Schwab Challenge,21
