Pick,Round,Drafter,Player
1,1,Stu,Ludvig Aberg
2,1,Alex,Justin Thomas
3,1,Dave,Russell Henley
4,2,Dave,Rickie Fowler
5,2,Alex,Robert MacIntyre
6,2,Stu,Ben Griffin
7,3,Stu,Alex Smalley
8,3,Alex,Akshay Bhatia
9,3,Dave,Keith Mitchell
10,4,Dave,J.J. Spaun
11,4,Alex,Max Greyserman
12,4,Stu,Tony Finau
13,5,Stu,Sungjae Im
14,5,Alex,Ryo Hisatsune
15,5,Dave,Sahith Theegala
16,6,Dave,Sudarshan Yellamaraju
17,6,Alex,Matt McCarty
18,6,Stu,Hideki Matsuyama
19,7,Stu,Harry Hall
20,7,Alex,Andrew Novak
21,7,Dave,Ryan Gerard
22,8,Stu,Davis Riley
23,8,Alex,Nico Echavarria
24,8,Dave,Neal Shipley
