Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Stu,1,1,T2,Shane Lowry,-15,25,18,70,67,63,69,0,100,100,100
Stu,7,3,T6,Nicolai Hojgaard,-11,15,18,70,72,66,65,0,0,100,100
Dave,9,3,T6,Keith Mitchell,-11,15,18,68,73,64,68,0,0,100,100
Stu,12,4,T9,Rasmus Hojgaard,-10,15,18,69,72,66,67,0,0,100,100
Dave,16,6,T9,Brooks Koepka,-10,15,18,74,66,69,65,0,0,100,100
Alex,17,6,T13,Max Homa,-9,7,18,73,66,69,67,0,0,0,100
Dave,4,2,T23,Ryan Gerard,-7,7,18,73,67,69,68,0,0,0,100
Alex,5,2,T23,Aaron Rai,-7,7,18,68,69,69,71,0,0,0,100
Dave,15,5,T32,Haotong Li,-6,1,18,71,71,69,67,0,0,0,100
Dave,3,1,T32,Daniel Berger,-6,1,18,67,71,71,69,0,0,0,100
Stu,19,7,T32,David Ford,-6,1,18,72,70,69,67,0,0,0,100
Alex,14,5,T40,Rasmus Neergaard-Petersen,-4,1,18,70,70,69,71,0,0,0,100
Stu,6,2,T40,Thorbjorn Olesen,-4,1,18,70,69,68,73,0,0,0,100
Alex,11,4,T40,Max McGreevy,-4,1,18,68,72,72,68,0,0,0,100
Alex,20,7,T52,Alex Smalley,-3,1,18,72,69,71,69,0,0,0,100
Dave,10,4,T60,Davis Thompson,0,1,18,70,71,72,71,0,0,0,100
Alex,2,1,CUT,Michael Thorbjornsen,1,0,0,72,71,,,0,0,0,0
Stu,13,5,T63,John Parry,2,1,18,71,70,70,75,0,0,0,100
Dave,24,8,CUT,Neal Shipley,2,0,0,70,74,,,0,0,0,0
Alex,8,3,CUT,Johnny Keefer,3,0,0,70,75,,,0,0,0,0
Stu,22,8,CUT,Adam Hadwin,3,0,0,71,74,,,0,0,0,0
Alex,23,8,CUT,Karl Vilips,5,0,0,69,78,,,0,0,0,0
Stu,17,6,CUT,Rico Hoey,8,0,0,78,72,,,0,0,0,0
Dave,21,7,CUT,Sami Valimaki,9,0,0,80,71,,,0,0,0,0
