current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Nico Echavarria,-17,50,4,18,-5,63,72,66,66,100,100,100,100,3/1/2026 18:00,Cognizant Classic,7
T2,Austin Smotherman,-15,25,4,18,-2,62,69,69,69,0,100,100,100,3/1/2026 18:00,Cognizant Classic,7
T2,Taylor Moore,-15,25,4,18,-3,67,67,67,68,0,100,100,100,3/1/2026 18:00,Cognizant Classic,7
T2,Shane Lowry,-15,25,4,18,-2,70,67,63,69,0,100,100,100,3/1/2026 18:00,Cognizant Classic,7
5,Ricky Castillo,-13,25,4,18,-3,69,70,64,68,0,100,100,100,3/1/2026 18:00,Cognizant Classic,7
T6,William Mouw,-11,15,4,18,-4,68,70,68,67,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T6,Nicolai Hojgaard,-11,15,4,18,-6,70,72,66,65,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T6,Keith Mitchell,-11,15,4,18,-3,68,73,64,68,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T9,Joel Dahmen,-10,15,4,18,-1,68,68,68,70,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T9,Rasmus Hojgaard,-10,15,4,18,-4,69,72,66,67,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T9,Brooks Koepka,-10,15,4,18,-6,74,66,69,65,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T9,Matti Schmid,-10,15,4,18,-3,69,70,67,68,0,0,100,100,3/1/2026 18:00,Cognizant Classic,7
T13,Pontus Nyholm,-9,7,4,18,-5,67,70,72,66,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T13,Patton Kizzire,-9,7,4,18,-1,70,72,63,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T13,Max Homa,-9,7,4,18,-4,73,66,69,67,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T13,A.J. Ewart,-9,7,4,18,1,71,64,68,72,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Kristoffer Reitan,-8,7,4,18,-1,67,70,69,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Sudarshan Yellamaraju,-8,7,4,18,-3,68,72,68,68,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Matthieu Pavon,-8,7,4,18,-3,71,69,68,68,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Chad Ramey,-8,7,4,18,-2,68,70,69,69,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Zecheng Dou,-8,7,4,18,-1,72,68,66,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T17,Takumi Kanaya,-8,7,4,18,-1,73,66,67,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Mackenzie Hughes,-7,7,4,18,-3,75,65,69,68,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Aaron Rai,-7,7,4,18,0,68,69,69,71,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Ryan Gerard,-7,7,4,18,-3,73,67,69,68,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Jordan Smith,-7,7,4,18,-3,71,71,67,68,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Zach Bauchou,-7,7,4,18,-2,70,71,67,69,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Adrien Dumont De Chassart,-7,7,4,18,-1,71,71,65,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Mark Hubbard,-7,7,4,18,0,69,68,69,71,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Kevin Roy,-7,7,4,18,-2,67,72,69,69,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T23,Beau Hossler,-7,7,4,18,1,68,73,64,72,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T32,Haotong Li,-6,1,4,18,-4,71,71,69,67,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T32,Jimmy Stanger,-6,1,4,18,5,69,68,65,76,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T32,David Ford,-6,1,4,18,-4,72,70,69,67,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
T32,Kevin Streelman,-6,1,4,18,-1,69,70,69,70,0,0,0,100,3/1/2026 18:00,Cognizant Classic,7
