Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Alex,10,4,T2,Si Woo Kim,-16,25,18,68,66,69,69,0,100,100,100
Alex,15,5,T5,Jake Knapp,-15,25,18,66,70,70,67,0,100,100,100
Dave,13,5,10,Maverick McNealy,-13,15,18,65,70,70,70,0,0,100,100
Alex,4,2,T11,Hideki Matsuyama,-12,7,18,64,73,69,70,0,0,0,100
Stu,8,3,T11,Ryan Gerard,-12,7,18,70,67,71,68,0,0,0,100
Dave,6,2,T18,Chris Gotterup,-11,7,18,68,70,70,69,0,0,0,100
Dave,19,7,T18,Michael Thorbjornsen,-11,7,18,68,67,72,70,0,0,0,100
Dave,12,4,T22,Harris English,-10,7,18,73,68,67,70,0,0,0,100
Alex,3,1,T22,Cameron Young,-10,7,18,70,68,72,68,0,0,0,100
Alex,21,7,T27,Patrick Rodgers,-9,1,18,70,70,73,66,0,0,0,100
Stu,20,7,T30,Sam Stevens,-8,1,18,68,72,71,69,0,0,0,100
Stu,5,2,T38,Jason Day,-7,1,18,67,74,68,72,0,0,0,100
Stu,17,6,T43,Keegan Bradley,-6,1,18,69,69,74,70,0,0,0,100
Stu,23,8,T43,John Parry,-6,1,18,67,71,71,73,0,0,0,100
Stu,2,1,CUT,Xander Schauffele,-2,0,0,73,69,,,0,0,0,0
Stu,11,4,CUT,Taylor Pendrith,-2,0,0,70,72,,,0,0,0,0
Dave,7,3,CUT,Patrick Cantlay,-2,0,0,72,70,,,0,0,0,0
Stu,14,5,CUT,Will Zalatoris,-1,0,0,68,75,,,0,0,0,0
Alex,9,3,CUT,J.J. Spaun,0,0,0,75,69,,,0,0,0,0
Dave,18,6,T65,Wyndham Clark,0,1,18,70,69,73,76,0,0,0,100
Alex,16,6,CUT,Max Homa,1,0,0,75,70,,,0,0,0,0
Alex,24,8,CUT,Lee Hodges,3,0,0,69,78,,,0,0,0,0
Dave,22,8,CUT,Billy Horschel,5,0,0,74,75,,,0,0,0,0
Dave,1,1,CUT,Ludvig Aberg,6,0,0,78,72,,,0,0,0,0
