current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Justin Rose,-23,50,4,18,-2,62,65,68,70,100,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T2,Ryo Hisatsune,-16,25,4,18,-3,69,66,68,69,0,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T2,Si Woo Kim,-16,25,4,18,-3,68,66,69,69,0,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T2,Pierceson Coody,-16,25,4,18,-7,68,70,69,65,0,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T5,Jake Knapp,-15,25,4,18,-5,66,70,70,67,0,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T5,Stephan Jaeger,-15,25,4,18,-4,65,75,65,68,0,100,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T7,Andrew Novak,-14,15,4,18,-6,69,69,70,66,0,0,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T7,Joel Dahmen,-14,15,4,18,1,70,63,68,73,0,0,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T7,Sahith Theegala,-14,15,4,18,-6,66,69,73,66,0,0,100,100,2/1/2026 14:55,Farmers Insurance Open,3
10,Maverick McNealy,-13,15,4,18,-2,65,70,70,70,0,0,100,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Tony Finau,-12,7,4,18,-6,72,67,71,66,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Haotong Li,-12,7,4,18,-2,69,68,69,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Keith Mitchell,-12,7,4,18,-3,67,72,68,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Hideki Matsuyama,-12,7,4,18,-2,64,73,69,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Seamus Power,-12,7,4,18,-1,65,66,74,71,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Ryan Gerard,-12,7,4,18,-4,70,67,71,68,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T11,Adam Schenk,-12,7,4,18,-3,69,70,68,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T18,David Lipsky,-11,7,4,18,-1,71,65,70,71,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T18,Matt McCarty,-11,7,4,18,-2,70,68,69,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T18,Chris Gotterup,-11,7,4,18,-3,68,70,70,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T18,Michael Thorbjornsen,-11,7,4,18,-2,68,67,72,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T22,Chad Ramey,-10,7,4,18,-4,74,67,69,68,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T22,Kris Ventura,-10,7,4,18,0,66,70,70,72,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T22,Harris English,-10,7,4,18,-2,73,68,67,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T22,Nicolai Hojgaard,-10,7,4,18,-3,70,67,72,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T22,Cameron Young,-10,7,4,18,-4,70,68,72,68,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T27,Eric Cole,-9,1,4,18,0,69,66,72,72,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T27,Christiaan Bezuidenhout,-9,1,4,18,-3,68,71,71,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T27,Patrick Rodgers,-9,1,4,18,-6,70,70,73,66,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Rasmus Hojgaard,-8,1,4,18,-3,74,67,70,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Kristoffer Reitan,-8,1,4,18,-6,67,73,74,66,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Sam Stevens,-8,1,4,18,-3,68,72,71,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Adam Scott,-8,1,4,18,-4,68,71,73,68,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Justin Lower,-8,1,4,18,0,63,72,73,72,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Dan Brown,-8,1,4,18,0,68,70,70,72,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Max McGreevy,-8,1,4,18,4,66,67,71,76,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T30,Isaiah Salinda,-8,1,4,18,-3,71,70,70,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T38,Emiliano Grillo,-7,1,4,18,-5,72,69,73,67,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T38,Danny Walker,-7,1,4,18,-3,67,68,77,69,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T38,Matthieu Pavon,-7,1,4,18,-2,67,74,70,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T38,Jason Day,-7,1,4,18,0,67,74,68,72,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T38,Karl Vilips,-7,1,4,18,-2,67,72,72,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T43,Davis Thompson,-6,1,4,18,-2,67,73,72,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T43,Johnny Keefer,-6,1,4,18,-2,70,69,73,70,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
T43,Ricky Castillo,-6,1,4,18,-4,68,71,75,68,0,0,0,100,2/1/2026 14:55,Farmers Insurance Open,3
