Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,1,1,1,Scottie Scheffler,-17,50,18,68,61,68,66,100,100,100,100,32
Dave,9,3,2,Si Woo Kim,-9,25,18,70,68,65,68,0,100,100,100,32
Alex,5,2,T3,Sam Burns,-8,25,18,67,70,62,73,0,100,100,100,32
Dave,3,1,T7,Tommy Fleetwood,-6,15,18,66,68,68,72,0,0,100,100,32
Dave,4,2,T7,Hideki Matsuyama,-6,15,18,66,70,67,71,0,0,100,100,32
Alex,2,1,T7,Xander Schauffele,-6,15,18,67,72,68,67,0,0,100,100,32
Dave,10,4,T7,Ludvig Aberg,-6,15,18,68,65,74,67,0,0,100,100,32
Stu,7,3,T12,Matt Fitzpatrick,-5,7,18,70,67,69,69,0,0,0,100,32
Alex,11,4,T12,Tom Kim,-5,7,18,69,72,63,71,0,0,0,100,32
Alex,14,5,T19,Viktor Hovland,-4,7,18,68,64,72,72,0,0,0,100,32
Stu,13,5,T24,Jackson Koivun,-3,7,18,71,70,66,70,0,0,0,100,32
Alex,23,8,T24,Max Homa,-3,7,18,73,67,69,68,0,0,0,100,32
Alex,17,6,T30,Russell Henley,-2,1,18,71,70,67,70,0,0,0,100,32
Stu,18,6,T30,Chris Gotterup,-2,1,18,66,70,69,73,0,0,0,100,32
Stu,19,7,T34,J.J. Spaun,-1,1,18,71,69,67,72,0,0,0,100,32
Dave,15,5,WD,Robert MacIntyre,0,0,0,82,,,,0,0,0,0,32
Dave,24,8,T39,Nick Taylor,0,1,18,69,68,69,74,0,0,0,100,32
Dave,21,7,T42,Michael Brennan,1,1,18,73,70,67,71,0,0,0,100,32
Dave,16,6,T42,Ben Griffin,1,1,18,73,71,69,68,0,0,0,100,32
Stu,12,4,T47,Justin Thomas,2,1,18,70,67,72,73,0,0,0,100,32
Alex,8,3,T52,Collin Morikawa,3,1,18,71,69,71,72,0,0,0,100,32
Stu,22,8,T63,Matt McCarty,7,1,18,73,72,71,71,0,0,0,100,32
Stu,6,2,66,Rory McIlroy,8,1,18,74,70,72,72,0,0,0,100,32
Alex,20,7,68,Akshay Bhatia,13,1,18,72,72,73,76,0,0,0,100,32
