current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Scottie Scheffler,-17,50,4,18,-4,68,61,68,66,100,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
2,Si Woo Kim,-9,25,4,18,-2,70,68,65,68,0,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T3,Sam Burns,-8,25,4,18,3,67,70,62,73,0,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T3,Alex Noren,-8,25,4,18,-1,71,66,66,69,0,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T5,Sungjae Im,-7,25,4,18,4,66,66,67,74,0,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T5,Wyndham Clark,-7,25,4,18,-2,69,66,70,68,0,100,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T7,Ludvig Aberg,-6,15,4,18,-3,68,65,74,67,0,0,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T7,Jake Knapp,-6,15,4,18,2,65,70,67,72,0,0,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T7,Hideki Matsuyama,-6,15,4,18,1,66,70,67,71,0,0,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T7,Xander Schauffele,-6,15,4,18,-3,67,72,68,67,0,0,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T7,Tommy Fleetwood,-6,15,4,18,2,66,68,68,72,0,0,100,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Nico Echavarria,-5,7,4,18,0,68,66,71,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Bud Cauley,-5,7,4,18,-3,66,72,70,67,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Tom Kim,-5,7,4,18,1,69,72,63,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Kurt Kitayama,-5,7,4,18,1,65,73,66,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Matt Fitzpatrick,-5,7,4,18,-1,70,67,69,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Adam Scott,-5,7,4,18,0,66,70,69,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T12,Patrick Cantlay,-5,7,4,18,0,69,66,70,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T19,Patrick Rodgers,-4,7,4,18,-1,67,69,71,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T19,Maverick McNealy,-4,7,4,18,-1,68,70,69,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T19,Viktor Hovland,-4,7,4,18,2,68,64,72,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T19,Pierceson Coody,-4,7,4,18,-1,71,66,70,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T19,Jordan Spieth,-4,7,4,18,0,65,69,72,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,Alex Smalley,-3,7,4,18,-1,68,68,72,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,Max Homa,-3,7,4,18,-2,73,67,69,68,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,Jackson Koivun,-3,7,4,18,0,71,70,66,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,Ryan Gerard,-3,7,4,18,-1,70,70,68,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,J.T. Poston,-3,7,4,18,2,71,68,66,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T24,Harry Hall,-3,7,4,18,-1,72,68,68,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T30,Chris Gotterup,-2,1,4,18,3,66,70,69,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T30,Brian Harman,-2,1,4,18,5,70,64,69,75,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T30,Jacob Bridgeman,-2,1,4,18,1,69,70,68,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T30,Russell Henley,-2,1,4,18,0,71,70,67,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T34,Sepp Straka,-1,1,4,18,-4,68,73,72,66,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T34,Rickie Fowler,-1,1,4,18,2,68,73,66,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T34,J.J. Spaun,-1,1,4,18,2,71,69,67,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T34,Keith Mitchell,-1,1,4,18,2,69,66,72,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T34,Nicolai Hojgaard,-1,1,4,18,-2,73,70,68,68,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T39,Cameron Young,0,1,4,18,0,69,69,72,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T39,Nick Taylor,0,1,4,18,4,69,68,69,74,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
WD,Robert MacIntyre,0,0,2,0,0,82,,,,0,0,0,0,8/16/2026 16:50,FedEx St. Jude Championship,32
T39,Justin Rose,0,1,4,18,-6,73,70,73,64,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T42,Gary Woodland,1,1,4,18,4,66,71,70,74,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T42,Sam Stevens,1,1,4,18,1,69,71,70,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T42,Harris English,1,1,4,18,-3,68,75,71,67,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T42,Michael Brennan,1,1,4,18,1,73,70,67,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T42,Ben Griffin,1,1,4,18,-2,73,71,69,68,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T47,Matti Schmid,2,1,4,18,2,73,70,67,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T47,Corey Conners,2,1,4,18,0,71,71,70,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T47,Michael Thorbjornsen,2,1,4,18,0,65,75,72,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T47,Justin Thomas,2,1,4,18,3,70,67,72,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T47,Sudarshan Yellamaraju,2,1,4,18,1,70,65,76,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T52,Ryo Hisatsune,3,1,4,18,3,69,70,71,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T52,Collin Morikawa,3,1,4,18,2,71,69,71,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T52,Shane Lowry,3,1,4,18,0,69,72,72,70,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T55,Jordan Smith,4,1,4,18,3,71,73,67,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T55,Michael Kim,4,1,4,18,3,65,72,74,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T55,Min Woo Lee,4,1,4,18,1,67,71,75,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T58,Eric Cole,5,1,4,18,1,72,72,70,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T58,Kristoffer Reitan,5,1,4,18,-1,72,71,73,69,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T58,Ryan Fox,5,1,4,18,-3,73,73,72,67,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T61,Aldrich Potgieter,6,1,4,18,2,71,71,72,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T61,Alex Fitzpatrick,6,1,4,18,1,71,74,70,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T63,Ricky Castillo,7,1,4,18,3,72,74,68,73,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T63,Aaron Rai,7,1,4,18,8,72,66,71,78,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
T63,Matt McCarty,7,1,4,18,1,73,72,71,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
66,Rory McIlroy,8,1,4,18,2,74,70,72,72,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
67,Sahith Theegala,11,1,4,18,1,69,72,79,71,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
68,Akshay Bhatia,13,1,4,18,6,72,72,73,76,0,0,0,100,8/16/2026 16:50,FedEx St. Jude Championship,32
