Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Xander Schauffele
3,1,Dave,Tommy Fleetwood
4,2,Dave,Hideki Matsuyama
5,2,Alex,Sam Burns
6,2,Stu,Rory McIlroy
7,3,Stu,Matt Fitzpatrick
8,3,Alex,Collin Morikawa
9,3,Dave,Si Woo Kim
10,4,Dave,Ludvig Aberg
11,4,Alex,Tom Kim
12,4,Stu,Justin Thomas
13,5,Stu,Jackson Koivun
14,5,Alex,Viktor Hovland
15,5,Dave,Robert MacIntyre
16,6,Dave,Ben Griffin
17,6,Alex,Russell Henley
18,6,Stu,Chris Gotterup
19,7,Stu,J J Spaun
20,7,Alex,Akshay Bhatia
21,7,Dave,Michael Brennan
22,8,Stu,Matt McCarty
23,8,Alex,Max Homa
24,8,Dave,Nick Taylor
