current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Gary Woodland,-21,50,4,18,-3,64,63,65,67,100,100,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
2,Nicolai Hojgaard,-16,25,4,18,1,68,62,63,71,0,100,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T3,Johnny Keefer,-15,25,4,18,-6,67,68,66,64,0,100,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T3,Min Woo Lee,-15,25,4,18,-3,68,63,67,67,0,100,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
5,Sam Stevens,-14,25,4,18,-3,67,65,67,67,0,100,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T6,Jason Day,-13,15,4,18,-2,68,63,68,68,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T6,Chris Gotterup,-13,15,4,18,-5,68,69,65,65,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T6,Jake Knapp,-13,15,4,18,-8,69,65,71,62,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T6,Sudarshan Yellamaraju,-13,15,4,18,-3,69,66,65,67,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T10,Bronson Burgoon,-12,15,4,18,-4,68,68,66,66,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T10,Sahith Theegala,-12,15,4,18,-2,67,67,66,68,0,0,100,100,3/29/2026 17:00,Texas Children's Houston Open,12
T12,Adrien Dumont De Chassart,-11,7,4,18,-5,67,68,69,65,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T12,Denny McCarthy,-11,7,4,18,-4,68,68,67,66,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T14,Keith Mitchell,-10,7,4,18,-5,68,66,71,65,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T14,Pontus Nyholm,-10,7,4,18,-3,69,66,68,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T14,Michael Thorbjornsen,-10,7,4,18,2,68,64,66,72,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T14,Jhonattan Vegas,-10,7,4,18,-2,67,67,68,68,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T14,Thorbjorn Olesen,-10,7,4,18,-3,68,68,67,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T19,Karl Vilips,-9,7,4,18,-3,68,65,71,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T19,Max McGreevy,-9,7,4,18,-3,72,63,69,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Beau Hossler,-8,7,4,18,-1,68,67,68,69,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Aldrich Potgieter,-8,7,4,18,-3,69,66,70,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Zecheng Dou,-8,7,4,18,0,66,67,69,70,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Sam Burns,-8,7,4,18,-4,65,72,69,66,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Adam Scott,-8,7,4,18,1,67,66,68,71,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Alex Smalley,-8,7,4,18,-3,67,68,70,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T21,Harris English,-8,7,4,18,-3,71,66,68,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Rico Hoey,-7,1,4,18,0,67,68,68,70,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Stephan Jaeger,-7,1,4,18,1,66,69,67,71,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Harry Hall,-7,1,4,18,-3,69,67,70,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Ben Griffin,-7,1,4,18,-3,70,68,68,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Rasmus Hojgaard,-7,1,4,18,-3,68,67,71,67,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Chad Ramey,-7,1,4,18,0,67,67,69,70,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Jackson Suber,-7,1,4,18,1,67,63,72,71,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
T28,Mac Meissner,-7,1,4,18,-5,68,69,71,65,0,0,0,100,3/29/2026 17:00,Texas Children's Houston Open,12
