Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Alex,5,2,1,Chris Gotterup,-20,50,18,66,68,68,62,100,100,100,100,26
Alex,20,7,2,Max Homa,-19,25,18,67,66,68,64,0,100,100,100,26
Alex,23,8,T9,Zac Blair,-16,15,18,63,68,67,70,0,0,100,100,26
Dave,16,6,T12,Blades Brown,-15,7,18,69,66,67,67,0,0,0,100,26
Dave,15,5,T15,Rickie Fowler,-14,7,18,70,69,63,68,0,0,0,100,26
Alex,2,1,T21,Ben Griffin,-13,7,18,69,65,70,67,0,0,0,100,26
Alex,8,3,T26,Jacob Bridgeman,-12,1,18,67,70,68,67,0,0,0,100,26
Stu,12,4,T26,Keegan Bradley,-12,1,18,70,69,69,64,0,0,0,100,26
Alex,17,6,T26,Davis Thompson,-12,1,18,69,69,66,68,0,0,0,100,26
Dave,21,7,T39,Pierceson Coody,-10,1,18,69,68,67,70,0,0,0,100,26
Stu,7,3,T39,Eric Cole,-10,1,18,76,63,70,65,0,0,0,100,26
Dave,9,3,T46,Tom Kim,-9,1,18,67,68,69,71,0,0,0,100,26
Stu,13,5,T51,J.T. Poston,-8,1,18,68,69,71,68,0,0,0,100,26
Dave,3,1,T51,Keith Mitchell,-8,1,18,73,66,69,68,0,0,0,100,26
Dave,4,2,T58,Jordan Spieth,-7,1,18,70,69,69,69,0,0,0,100,26
Stu,18,6,T71,Sungjae Im,-3,1,18,68,69,68,76,0,0,0,100,26
Stu,6,2,CUT,Michael Thorbjornsen,-2,0,0,68,72,,,0,0,0,0,26
Stu,19,7,CUT,Sudarshan Yellamaraju,-2,0,0,70,70,,,0,0,0,0,26
Stu,22,8,CUT,Takumi Kanaya,-2,0,0,70,70,,,0,0,0,0,26
Dave,24,8,CUT,Neal Shipley,-2,0,0,72,68,,,0,0,0,0,26
Dave,10,4,CUT,Aldrich Potgieter,0,0,0,74,68,,,0,0,0,0,26
Alex,14,5,CUT,Denny McCarthy,0,0,0,71,71,,,0,0,0,0,26
Alex,11,4,CUT,Andrew Novak,1,0,0,72,71,,,0,0,0,0,26
Stu,1,1,CUT,Jackson Koivun,1,0,0,73,70,,,0,0,0,0,26
