current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Chris Gotterup,-20,50,4,18,-9,66,68,68,62,100,100,100,100,7/5/2026 16:50,John Deere Classic,26
2,Max Homa,-19,25,4,18,-7,67,66,68,64,0,100,100,100,7/5/2026 16:50,John Deere Classic,26
T3,Lee Hodges,-18,25,4,18,-2,64,66,67,69,0,100,100,100,7/5/2026 16:50,John Deere Classic,26
T3,Lucas Glover,-18,25,4,18,-2,63,65,69,69,0,100,100,100,7/5/2026 16:50,John Deere Classic,26
T3,Ben Kohles,-18,25,4,18,-3,65,67,66,68,0,100,100,100,7/5/2026 16:50,John Deere Classic,26
T6,Mac Meissner,-17,15,4,18,-7,67,70,66,64,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T6,Jackson Suber,-17,15,4,18,-2,68,64,66,69,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T6,Doug Ghim,-17,15,4,18,-3,69,65,65,68,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T9,Ryo Hisatsune,-16,15,4,18,-4,67,65,69,67,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T9,Zach Johnson,-16,15,4,18,-3,64,70,66,68,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T9,Zac Blair,-16,15,4,18,-1,63,68,67,70,0,0,100,100,7/5/2026 16:50,John Deere Classic,26
T12,Christiaan Bezuidenhout,-15,7,4,18,-6,68,68,68,65,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T12,Blades Brown,-15,7,4,18,-4,69,66,67,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T12,Tyler Duncan,-15,7,4,18,-5,66,66,71,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Stephan Jaeger,-14,7,4,18,-5,64,72,68,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Rickie Fowler,-14,7,4,18,-3,70,69,63,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Matt Kuchar,-14,7,4,18,-4,72,66,65,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Preston Stout,-14,7,4,18,-2,66,69,66,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Kevin Yu,-14,7,4,18,-5,66,72,66,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T15,Chandler Phillips,-14,7,4,18,-2,69,67,65,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T21,Harry Higgs,-13,7,4,18,-4,67,68,69,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T21,Zecheng Dou,-13,7,4,18,-4,67,69,68,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T21,Ben Griffin,-13,7,4,18,-4,69,65,70,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T21,David Lipsky,-13,7,4,18,-3,67,65,71,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T21,Troy Merritt,-13,7,4,18,-2,66,66,70,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Emiliano Grillo,-12,1,4,18,-2,70,66,67,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Erik Van Rooyen,-12,1,4,18,-2,70,69,64,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,William Mouw,-12,1,4,18,-1,66,68,68,70,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Pontus Nyholm,-12,1,4,18,-2,68,66,69,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Davis Thompson,-12,1,4,18,-3,69,69,66,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Jacob Bridgeman,-12,1,4,18,-4,67,70,68,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T26,Keegan Bradley,-12,1,4,18,-7,70,69,69,64,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,Nick Dunlap,-11,1,4,18,-4,67,72,67,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,David Skinns,-11,1,4,18,-3,72,67,66,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,Matt Wallace,-11,1,4,18,-6,67,71,70,65,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,Davis Chatfield,-11,1,4,18,-3,69,66,70,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,Tom Hoge,-11,1,4,18,-2,73,64,67,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T33,Michael Brennan,-11,1,4,18,-4,66,68,72,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Beau Hossler,-10,1,4,18,0,70,67,66,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Pierceson Coody,-10,1,4,18,-1,69,68,67,70,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Karl Vilips,-10,1,4,18,-2,72,65,68,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Aaron Wise,-10,1,4,18,1,66,69,67,72,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Trace Crowe,-10,1,4,18,-4,69,69,69,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Eric Cole,-10,1,4,18,-6,76,63,70,65,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T39,Lanto Griffin,-10,1,4,18,-5,67,72,69,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T46,Mackenzie Hughes,-9,1,4,18,-5,72,67,70,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T46,Keita Nakajima,-9,1,4,18,-3,70,69,68,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T46,Tom Kim,-9,1,4,18,0,67,68,69,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T46,Mark Hubbard,-9,1,4,18,-3,72,67,68,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T46,Joel Dahmen,-9,1,4,18,-4,66,71,71,67,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Adrien Dumont De Chassart,-8,1,4,18,-5,72,67,71,66,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Luke Gutschewski,-8,1,4,18,-2,67,68,72,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Keith Mitchell,-8,1,4,18,-3,73,66,69,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Max McGreevy,-8,1,4,18,-3,71,68,69,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Andrew Putnam,-8,1,4,18,3,67,68,67,74,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,J.T. Poston,-8,1,4,18,-3,68,69,71,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T51,Chan Kim,-8,1,4,18,-1,68,67,71,70,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Tony Finau,-7,1,4,18,0,70,68,68,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Peter Malnati,-7,1,4,18,0,71,66,69,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Hayden Springer,-7,1,4,18,1,66,68,71,72,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Austin Smotherman,-7,1,4,18,1,66,69,70,72,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Jordan Spieth,-7,1,4,18,-2,70,69,69,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T58,Austin Eckroat,-7,1,4,18,-1,71,67,69,70,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
64,Will Gordon,-6,1,4,18,-3,70,69,71,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T65,Davis Riley,-5,1,4,18,0,65,72,71,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T65,Camilo Villegas,-5,1,4,18,-3,71,67,73,68,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T67,Rafael Campos,-4,1,4,18,0,66,71,72,71,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
T67,Zach Bauchou,-4,1,4,18,-2,69,70,72,69,0,0,0,100,7/5/2026 16:50,John Deere Classic,26
