Pick,Round,Drafter,Player
1,1,Stu,Jackson Koivun
2,1,Alex,Ben Griffin
3,1,Dave,Keith Mitchell
4,2,Dave,Jordan Spieth
5,2,Alex,Chris Gotterup
6,2,Stu,Michael Thorbjornsen
7,3,Stu,Eric Cole
8,3,Alex,Jacob Bridgeman
9,3,Dave,Tom Kim
10,4,Dave,Aldrich Potgieter
11,4,Alex,Andrew Novak
12,4,Stu,Keegan Bradley
13,5,Stu,J.T. Poston
14,5,Alex,Denny McCarthy
15,5,Dave,Rickie Fowler
16,6,Dave,Blades Brown
17,6,Alex,Davis Thompson
18,6,Stu,Sungjae Im
19,7,Stu,Sudarshan Yellamaraju
20,7,Alex,Max Homa
21,7,Dave,Pierceson Coody
22,8,Stu,Patrick Rodgers
23,8,Alex,Zac Blair
24,8,Dave,Neal Shipley
