Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,3,1,1,Rory McIlroy,-12,50,18,67,65,73,71,100,100,100,100,14
Dave,2,1,2,Scottie Scheffler,-11,25,18,70,74,65,68,0,100,100,100,14
Dave,5,2,T3,Cameron Young,-10,25,18,73,67,65,73,0,100,100,100,14
Alex,13,5,T3,Justin Rose,-10,25,18,70,69,69,70,0,100,100,100,14
Stu,21,7,T3,Russell Henley,-10,25,18,73,71,66,68,0,100,100,100,14
Stu,16,6,T7,Collin Morikawa,-9,15,18,74,69,68,68,0,0,100,100,14
Stu,4,2,T9,Xander Schauffele,-8,15,18,70,72,70,68,0,0,100,100,14
Dave,14,5,T12,Hideki Matsuyama,-5,7,18,72,70,72,69,0,0,0,100,14
Stu,15,5,T12,Brooks Koepka,-5,7,18,72,69,71,71,0,0,0,100,14
Alex,12,4,T12,Patrick Reed,-5,7,18,69,69,72,73,0,0,0,100,14
Dave,17,6,T12,Jordan Spieth,-5,7,18,72,73,70,68,0,0,0,100,14
Alex,7,3,T18,Matt Fitzpatrick,-4,7,18,74,69,70,71,0,0,0,100,14
Dave,8,3,T21,Ludvig Aberg,-3,7,18,74,70,69,72,0,0,0,100,14
Alex,19,7,T24,Adam Scott,-2,7,18,72,74,70,70,0,0,0,100,14
Alex,18,6,T24,Chris Gotterup,-2,7,18,72,69,72,73,0,0,0,100,14
Stu,24,8,T24,Sam Stevens,-2,7,18,72,74,70,70,0,0,0,100,14
Stu,9,3,T33,Tommy Fleetwood,0,1,18,71,68,73,76,0,0,0,100,14
Alex,1,1,T38,Jon Rahm,1,1,18,78,70,73,68,0,0,0,100,14
Alex,6,2,CUT,Bryson DeChambeau,6,0,0,76,74,,,0,0,0,0,14
Dave,20,7,CUT,Akshay Bhatia,6,0,0,73,77,,,0,0,0,0,14
Dave,11,4,CUT,Robert MacIntyre,7,0,0,80,71,,,0,0,0,0,14
Alex,22,8,CUT,Daniel Berger,8,0,0,76,76,,,0,0,0,0,14
Dave,23,8,CUT,Mason Howell,9,0,0,77,76,,,0,0,0,0,14
Stu,10,4,CUT,Min Woo Lee,11,0,0,78,77,,,0,0,0,0,14
