Pick,Round,Drafter,Player
1,1,Alex,Jon Rahm
2,1,Dave,Scottie Scheffler
3,1,Stu,Rory McIlroy
4,2,Stu,Xander Schauffele
5,2,Dave,Cameron Young
6,2,Alex,Bryson DeChambeau
7,3,Alex,Matt Fitzpatrick
8,3,Dave,Ludvig Aberg
9,3,Stu,Tommy Fleetwood
10,4,Stu,Min Woo Lee
11,4,Dave,Robert MacIntyre
12,4,Alex,Patrick Reed
13,5,Alex,Justin Rose
14,5,Dave,Hideki Matsuyama
15,5,Stu,Brooks Koepka
16,6,Stu,Collin Morikawa
17,6,Dave,Jordan Spieth
18,6,Alex,Chris Gotterup
19,7,Alex,Adam Scott
20,7,Dave,Akshay Bhatia
21,7,Stu,Russell Henley
22,8,Alex,Daniel Berger
23,8,Dave,Mason Howell
24,8,Stu,Sam Stevens
