Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,20,7,3,Wyndham Clark,-11,25,18,67,75,68,67,0,100,100,100,22
Stu,12,4,T4,Tommy Fleetwood,-10,25,18,67,73,70,68,0,100,100,100,22
Alex,21,7,T6,Kristoffer Reitan,-8,15,18,75,70,70,65,0,0,100,100,22
Stu,22,8,T6,Alex Fitzpatrick,-8,15,18,72,71,72,65,0,0,100,100,22
Dave,23,8,8,Eric Cole,-7,15,18,72,69,70,70,0,0,100,100,22
Dave,8,3,T10,Si Woo Kim,-5,15,18,72,76,69,66,0,0,100,100,22
Dave,2,1,T12,Rory McIlroy,-4,7,18,71,74,71,68,0,0,0,100,22
Stu,1,1,T12,Scottie Scheffler,-4,7,18,73,72,68,71,0,0,0,100,22
Dave,14,5,T12,J.J. Spaun,-4,7,18,67,77,68,72,0,0,0,100,22
Alex,16,6,T17,Harris English,-3,7,18,71,76,69,69,0,0,0,100,22
Dave,11,4,T17,Patrick Cantlay,-3,7,18,70,72,76,67,0,0,0,100,22
Alex,9,3,T19,Justin Thomas,-2,7,18,74,75,72,65,0,0,0,100,22
Stu,6,2,T22,Russell Henley,-1,7,18,72,76,71,68,0,0,0,100,22
Dave,5,2,T29,Xander Schauffele,1,1,18,72,70,74,73,0,0,0,100,22
Stu,7,3,T36,Matt Fitzpatrick,4,1,18,75,71,73,73,0,0,0,100,22
Stu,19,7,T36,Gary Woodland,4,1,18,72,74,76,70,0,0,0,100,22
Alex,4,2,39,Ludvig Aberg,5,1,18,71,78,69,75,0,0,0,100,22
Stu,18,6,CUT,Jordan Spieth,6,0,0,71,79,,,0,0,0,0,22
Alex,15,5,T40,Sepp Straka,6,1,18,74,75,72,73,0,0,0,100,22
Alex,10,4,CUT,Ben Griffin,7,0,0,74,77,,,0,0,0,0,22
Dave,17,6,T43,Hideki Matsuyama,7,1,18,72,73,78,72,0,0,0,100,22
Alex,24,8,T43,Nick Taylor,7,1,18,68,78,73,76,0,0,0,100,22
Alex,3,1,T46,Cameron Young,8,1,18,73,74,76,73,0,0,0,100,22
Stu,13,5,CUT,Alex Smalley,15,0,0,83,76,,,0,0,0,0,22
