current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
2,Ryan Gerard,-12,25,4,18,-4,67,69,72,68,0,100,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
1,J.T. Poston,-12,50,4,18,0,70,65,69,72,100,100,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
3,Wyndham Clark,-11,25,4,18,-5,67,75,68,67,0,100,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T4,Sam Burns,-10,25,4,18,-3,69,69,71,69,0,100,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T4,Tommy Fleetwood,-10,25,4,18,-4,67,73,70,68,0,100,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T6,Kristoffer Reitan,-8,15,4,18,-7,75,70,70,65,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T6,Alex Fitzpatrick,-8,15,4,18,-7,72,71,72,65,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
8,Eric Cole,-7,15,4,18,-2,72,69,70,70,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
9,Alex Noren,-6,15,4,18,-2,71,74,67,70,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T10,Si Woo Kim,-5,15,4,18,-6,72,76,69,66,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T10,Maverick McNealy,-5,15,4,18,-1,71,73,68,71,0,0,100,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T12,Adam Scott,-4,7,4,18,-6,72,74,72,66,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T12,Scottie Scheffler,-4,7,4,18,-1,73,72,68,71,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T12,Rory McIlroy,-4,7,4,18,-4,71,74,71,68,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T12,J.J. Spaun,-4,7,4,18,0,67,77,68,72,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T12,Justin Rose,-4,7,4,18,-1,69,76,68,71,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T17,Harris English,-3,7,4,18,-3,71,76,69,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T17,Patrick Cantlay,-3,7,4,18,-5,70,72,76,67,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T19,Justin Thomas,-2,7,4,18,-7,74,75,72,65,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T19,Aaron Rai,-2,7,4,18,-2,73,70,73,70,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T19,Keegan Bradley,-2,7,4,18,1,71,73,69,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T22,Matt Kuchar,-1,7,4,18,-3,75,71,72,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T22,Shane Lowry,-1,7,4,18,1,70,73,71,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T22,Russell Henley,-1,7,4,18,-4,72,76,71,68,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T22,Bud Cauley,-1,7,4,18,-3,73,74,71,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T22,Kurt Kitayama,-1,7,4,18,0,72,72,71,72,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T27,Chris Gotterup,0,1,4,18,-2,74,74,70,70,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T27,Ryan Fox,0,1,4,18,-2,70,77,71,70,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T29,Tony Finau,1,1,4,18,0,70,74,73,72,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T29,Harry Hall,1,1,4,18,2,73,71,71,74,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T29,Xander Schauffele,1,1,4,18,1,72,70,74,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T32,Sungjae Im,2,1,4,18,1,73,72,72,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T32,Sahith Theegala,2,1,4,18,1,74,71,72,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T34,Jacob Bridgeman,3,1,4,18,-3,76,69,77,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T34,Denny McCarthy,3,1,4,18,-3,73,75,74,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T36,Matt Fitzpatrick,4,1,4,18,1,75,71,73,73,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T36,Brandt Snedeker,4,1,4,18,-3,76,72,75,69,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
T36,Gary Woodland,4,1,4,18,-2,72,74,76,70,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
39,Ludvig Aberg,5,1,4,18,3,71,78,69,75,0,0,0,100,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
CUT,Brian Harman,6,0,2,0,0,76,74,,,0,0,0,0,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
CUT,Andrew Novak,6,0,2,0,0,71,79,,,0,0,0,0,6/7/2026 17:59,the Memorial Tournament presented by Workday,22
