Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Rory McIlroy
3,1,Alex,Cameron Young
4,2,Alex,Ludvig Aberg
5,2,Dave,Xander Schauffele
6,2,Stu,Russell Henley
7,3,Stu,Matt Fitzpatrick
8,3,Dave,Si Woo Kim
9,3,Alex,Justin Thomas
10,4,Alex,Ben Griffin
11,4,Dave,Patrick Cantlay
12,4,Stu,Tommy Fleetwood
13,5,Stu,Alex Smalley
14,5,Dave,J.J. Spaun
15,5,Alex,Sepp Straka
16,6,Alex,Harris English
17,6,Dave,Hideki Matsuyama
18,6,Stu,Jordan Spieth
19,7,Stu,Gary Woodland
20,7,Dave,Wyndham Clark
21,7,Alex,Kristoffer Reitan
22,8,Stu,Alex Fitzpatrick
23,8,Dave,Eric Cole
24,8,Alex,Nick Taylor
