Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,7,3,T2,Jon Rahm,-6,25,18,69,70,67,68,0,100,100,100,19
Dave,4,2,T4,Ludvig Aberg,-5,25,18,72,66,68,69,0,100,100,100,19
Alex,14,5,T4,Justin Thomas,-5,25,18,69,69,72,65,0,100,100,100,19
Alex,5,2,T7,Xander Schauffele,-4,15,18,68,73,66,69,0,0,100,100,19
Dave,3,1,T7,Rory McIlroy,-4,15,18,74,67,66,69,0,0,100,100,19
Dave,16,6,T10,Chris Gotterup,-3,15,18,72,65,71,69,0,0,100,100,19
Alex,20,7,T10,Patrick Reed,-3,15,18,68,72,67,70,0,0,100,100,19
Alex,8,3,T14,Matt Fitzpatrick,-2,7,18,70,72,71,65,0,0,0,100,19
Stu,1,1,T14,Scottie Scheffler,-2,7,18,67,71,71,69,0,0,0,100,19
Stu,19,7,T18,Jordan Spieth,-1,7,18,69,72,70,68,0,0,0,100,19
Dave,21,7,T18,Min Woo Lee,-1,7,18,67,70,71,71,0,0,0,100,19
Alex,2,1,T26,Cameron Young,0,1,18,71,67,72,70,0,0,0,100,19
Dave,24,8,T35,Haotong Li,1,1,18,71,69,71,70,0,0,0,100,19
Alex,11,4,T35,Patrick Cantlay,1,1,18,70,69,74,68,0,0,0,100,19
Stu,6,2,T55,Collin Morikawa,3,1,18,69,72,74,68,0,0,0,100,19
Alex,17,6,T55,Brooks Koepka,3,1,18,69,72,68,74,0,0,0,100,19
Dave,15,5,T60,Rickie Fowler,4,1,18,70,71,68,75,0,0,0,100,19
Dave,10,4,CUT,Tommy Fleetwood,5,0,0,72,73,,,0,0,0,0,19
Stu,13,5,CUT,Russell Henley,5,0,0,72,73,,,0,0,0,0,19
Stu,12,4,CUT,Tyrrell Hatton,6,0,0,72,74,,,0,0,0,0,19
Dave,9,3,CUT,Bryson DeChambeau,7,0,0,76,71,,,0,0,0,0,19
Alex,23,8,CUT,Harry Hall,7,0,0,72,75,,,0,0,0,0,19
Stu,18,6,CUT,Adam Scott,8,0,0,72,76,,,0,0,0,0,19
Stu,22,8,CUT,Sudarshan Yellamaraju,10,0,0,75,75,,,0,0,0,0,19
