current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Aaron Rai,-9,50,4,18,-5,70,69,67,65,100,100,100,100,5/17/2026 19:03,PGA Championship,19
T2,Jon Rahm,-6,25,4,18,-2,69,70,67,68,0,100,100,100,5/17/2026 19:03,PGA Championship,19
T2,Alex Smalley,-6,25,4,18,0,67,69,68,70,0,100,100,100,5/17/2026 19:03,PGA Championship,19
T4,Ludvig Aberg,-5,25,4,18,-1,72,66,68,69,0,100,100,100,5/17/2026 19:03,PGA Championship,19
T4,Justin Thomas,-5,25,4,18,-5,69,69,72,65,0,100,100,100,5/17/2026 19:03,PGA Championship,19
T4,Matti Schmid,-5,25,4,18,-1,69,72,65,69,0,100,100,100,5/17/2026 19:03,PGA Championship,19
T7,Cameron Smith,-4,15,4,18,-2,69,71,68,68,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T7,Rory McIlroy,-4,15,4,18,-1,74,67,66,69,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T7,Xander Schauffele,-4,15,4,18,-1,68,73,66,69,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T10,Justin Rose,-3,15,4,18,-1,70,73,65,69,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T10,Patrick Reed,-3,15,4,18,0,68,72,67,70,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T10,Kurt Kitayama,-3,15,4,18,-7,70,69,75,63,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T10,Chris Gotterup,-3,15,4,18,-1,72,65,71,69,0,0,100,100,5/17/2026 19:03,PGA Championship,19
T14,Ben Griffin,-2,7,4,18,0,71,70,67,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T14,Max Greyserman,-2,7,4,18,0,68,69,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T14,Matt Fitzpatrick,-2,7,4,18,-5,70,72,71,65,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T14,Scottie Scheffler,-2,7,4,18,-1,67,71,71,69,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,David Puig,-1,7,4,18,0,71,67,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Joaquin Niemann,-1,7,4,18,1,69,73,66,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Jordan Spieth,-1,7,4,18,-2,69,72,70,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Min Woo Lee,-1,7,4,18,1,67,70,71,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Maverick McNealy,-1,7,4,18,2,69,67,71,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Padraig Harrington,-1,7,4,18,-1,74,69,67,69,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Harris English,-1,7,4,18,0,71,67,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T18,Stephan Jaeger,-1,7,4,18,-1,67,70,73,69,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Tom Hoge,0,1,4,18,0,72,70,68,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Bud Cauley,0,1,4,18,2,69,72,67,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Hideki Matsuyama,0,1,4,18,2,70,67,71,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Andrew Novak,0,1,4,18,0,69,70,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Alex Noren,0,1,4,18,-4,71,73,70,66,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Daniel Hillier,0,1,4,18,0,71,69,70,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Cameron Young,0,1,4,18,0,71,67,72,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Nick Taylor,0,1,4,18,4,69,72,65,74,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T26,Sam Burns,0,1,4,18,1,70,72,67,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Aldrich Potgieter,1,1,4,18,1,67,70,73,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Haotong Li,1,1,4,18,0,71,69,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Daniel Berger,1,1,4,18,-2,74,70,69,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Si Woo Kim,1,1,4,18,1,71,67,72,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Patrick Cantlay,1,1,4,18,-2,70,69,74,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Christiaan Bezuidenhout,1,1,4,18,-3,72,72,70,67,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Martin Kaymer,1,1,4,18,3,67,75,66,73,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Ryan Fox,1,1,4,18,-1,70,70,72,69,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T35,Ryo Hisatsune,1,1,4,18,-2,67,73,73,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Jhonattan Vegas,2,1,4,18,-1,73,71,69,69,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Nicolai Hojgaard,2,1,4,18,2,69,75,66,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Chandler Blanchet,2,1,4,18,0,69,73,70,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Kristoffer Reitan,2,1,4,18,4,71,72,65,74,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Shane Lowry,2,1,4,18,-2,68,76,70,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Chris Kirk,2,1,4,18,4,73,70,65,74,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Matt Wallace,2,1,4,18,-2,71,71,72,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Taylor Pendrith,2,1,4,18,1,72,72,67,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Denny McCarthy,2,1,4,18,0,71,71,70,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Dustin Johnson,2,1,4,18,2,72,70,68,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T44,Michael Kim,2,1,4,18,2,73,70,67,72,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T55,Corey Conners,3,1,4,18,0,68,73,72,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T55,Mikael Lindberg,3,1,4,18,4,71,71,67,74,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T55,Brooks Koepka,3,1,4,18,4,69,72,68,74,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T55,Andrew Putnam,3,1,4,18,3,69,71,70,73,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T55,Collin Morikawa,3,1,4,18,-2,69,72,74,68,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T60,Brian Harman,4,1,4,18,5,70,73,66,75,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T60,Sami Valimaki,4,1,4,18,0,73,70,71,70,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T60,Rico Hoey,4,1,4,18,3,70,70,71,73,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T60,Sahith Theegala,4,1,4,18,1,68,73,72,71,0,0,0,100,5/17/2026 19:03,PGA Championship,19
T60,Rickie Fowler,4,1,4,18,5,70,71,68,75,0,0,0,100,5/17/2026 19:03,PGA Championship,19
CUT,Jimmy Walker,5,0,2,0,0,71,74,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
CUT,Russell Henley,5,0,2,0,0,72,73,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
CUT,Tommy Fleetwood,5,0,2,0,0,72,73,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
CUT,Thomas Detry,5,0,2,0,0,72,73,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
CUT,Andy Sullivan,5,0,2,0,0,72,73,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
CUT,J.T. Poston,5,0,2,0,0,71,74,,,0,0,0,0,5/17/2026 19:03,PGA Championship,19
