Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Cameron Young
3,1,Dave,Rory McIlroy
4,2,Dave,Ludvig Aberg
5,2,Alex,Xander Schauffele
6,2,Stu,Collin Morikawa
7,3,Stu,Jon Rahm
8,3,Alex,Matt Fitzpatrick
9,3,Dave,Bryson DeChambeau
10,4,Dave,Tommy Fleetwood
11,4,Alex,Patrick Cantlay
12,4,Stu,Tyrrell Hatton
13,5,Stu,Russell Henley
14,5,Alex,Justin Thomas
15,5,Dave,Rickie Fowler
16,6,Dave,Chris Gotterup
17,6,Alex,Brooks Koepka
18,6,Stu,Adam Scott
19,7,Stu,Jordan Spieth
20,7,Alex,Patrick Reed
21,7,Dave,Min Woo Lee
22,8,Stu,Sudarshan Yellamaraju
23,8,Alex,Harry Hall
24,8,Dave,Haotong Li
