Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Dave,Adam Scott
3,1,Alex,Tommy Fleetwood
4,2,Alex,Cameron Young
5,2,Dave,Ludvig Aberg
6,2,Stu,Hideki Matsuyama
7,3,Stu,Rory McIlroy
8,3,Dave,Viktor Hovland
9,3,Alex,Xander Schauffele
10,4,Alex,Si Woo Kim
11,4,Dave,Min Woo Lee
12,4,Stu,Akshay Bhatia
13,5,Stu,Corey Conners
14,5,Dave,Chris Gotterup
15,5,Alex,Jake Knapp
16,6,Alex,Sepp Straka
17,6,Dave,Russell Henley
17,6,Stu,Matt Fitzpatrick
19,7,Stu,Nicolai Hojgaard
20,7,Dave,Brooks Koepka
21,7,Alex,Aaron Rai
22,8,Stu,Tom Hoge
23,8,Dave,Max Homa
24,8,Alex,Ryo Hisatsune
