current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Matt Fitzpatrick,-18,50,4,18,-1,65,63,68,70,100,100,100,100,4/19/2026 18:00,RBC Heritage,15
2,Scottie Scheffler,-18,25,4,18,-4,68,67,64,67,0,100,100,100,4/19/2026 18:00,RBC Heritage,15
3,Si Woo Kim,-16,25,4,18,-3,66,68,66,68,0,100,100,100,4/19/2026 18:00,RBC Heritage,15
T4,Ludvig Aberg,-13,25,4,18,-1,63,70,68,70,0,100,100,100,4/19/2026 18:00,RBC Heritage,15
T4,Collin Morikawa,-13,25,4,18,-4,67,68,69,67,0,100,100,100,4/19/2026 18:00,RBC Heritage,15
T4,Harris English,-13,25,4,18,-2,64,68,70,69,0,100,100,100,4/19/2026 18:00,RBC Heritage,15
7,Bud Cauley,-12,15,4,18,-1,68,69,65,70,0,0,100,100,4/19/2026 18:00,RBC Heritage,15
T8,Patrick Cantlay,-11,15,4,18,1,69,64,68,72,0,0,100,100,4/19/2026 18:00,RBC Heritage,15
T8,Rickie Fowler,-11,15,4,18,-1,65,69,69,70,0,0,100,100,4/19/2026 18:00,RBC Heritage,15
T8,Kurt Kitayama,-11,15,4,18,0,69,65,68,71,0,0,100,100,4/19/2026 18:00,RBC Heritage,15
T8,Gary Woodland,-11,15,4,18,1,65,70,66,72,0,0,100,100,4/19/2026 18:00,RBC Heritage,15
T12,Keegan Bradley,-10,7,4,18,-3,67,67,72,68,0,0,0,100,4/19/2026 18:00,RBC Heritage,15
T12,Matt McCarty,-10,7,4,18,-3,69,71,66,68,0,0,0,100,4/19/2026 18:00,RBC Heritage,15
T12,Xander Schauffele,-10,7,4,18,-2,69,68,68,69,0,0,0,100,4/19/2026 18:00,RBC Heritage,15
T12,Steven Fisk,-10,7,4,18,0,69,67,67,71,0,0,0,100,4/19/2026 18:00,RBC Heritage,15
T16,Wyndham Clark,-9,7,4,18,-2,68,68,70,69,0,0,0,100,4/19/2026 18:00,RBC Heritage,15
