Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Xander Schauffele
3,1,Dave,Matt Fitzpatrick
4,2,Dave,Russell Henley
5,2,Alex,Tommy Fleetwood
6,2,Stu,Cameron Young
7,3,Stu,Patrick Cantlay
8,3,Alex,Si Woo Kim
9,3,Dave,Jordan Spieth
10,4,Dave,Jake Knapp
11,4,Alex,Justin Thomas
12,4,Stu,Ludvig Aberg
13,5,Stu,Robert MacIntyre
14,5,Alex,Sepp Straka
15,5,Dave,Viktor Hovland
16,6,Dave,Jacob Bridgeman
17,6,Alex,Maverick McNealy
18,6,Stu,Sahith Theegala
19,7,Stu,Sudarshan Yellamaraju
20,7,Alex,Harris English
21,7,Dave,Collin Morikawa
22,8,Stu,Austin Smotherman
23,8,Alex,Matt McCarty
24,8,Dave,Billy Horschel
