Pick,Round,Drafter,Player
1,1,Alex,Michael Thorbjornsen
2,1,Stu,Si Woo Kim
3,1,Dave,Harris English
4,2,Dave,J.T. Poston
5,2,Stu,Rico Hoey
6,2,Alex,Brian Harman
7,3,Alex,Daniel Berger
8,3,Stu,Vince Whaley
9,3,Dave,Chris Kirk
10,4,Dave,Alex Smalley
11,4,Stu,Thorbjorn Olesen
12,4,Alex,Denny McCarthy
13,5,Alex,Eric Cole
14,5,Stu,Nico Echavarria
15,5,Dave,Davis Thompson
16,6,Dave,Max McGreevy
17,6,Stu,Seamus Power
18,6,Alex,Patrick Rodgers
19,7,Alex,Bud Cauley
20,7,Stu,Pierceson Coody
21,7,Dave,Luke Clanton
22,8,Alex,Karl Vilips
23,8,Stu,Adam Svensson
24,8,Dave,Frankie Capan III
