Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut
Alex,3,1,T2,Rory McIlroy,-17,25,18,66,65,69,67,0,100,100,100
Dave,11,4,6,Jake Knapp,-13,15,18,73,65,67,66,0,0,100,100
Dave,8,3,T7,Collin Morikawa,-12,15,18,68,69,70,65,0,0,100,100
Dave,2,1,T7,Tommy Fleetwood,-12,15,18,69,66,70,67,0,0,100,100
Stu,12,4,T7,Cameron Young,-12,15,18,72,68,66,66,0,0,100,100
Stu,6,2,T7,Xander Schauffele,-12,15,18,68,65,70,69,0,0,100,100
Alex,24,8,T7,Ryan Fox,-12,15,18,67,69,69,67,0,0,100,100
Stu,1,1,T12,Scottie Scheffler,-11,7,18,74,68,66,65,0,0,0,100
Dave,17,6,T16,Akshay Bhatia,-10,7,18,68,71,67,68,0,0,0,100
Alex,21,7,T16,Pierceson Coody,-10,7,18,68,71,68,67,0,0,0,100
Alex,15,5,T20,Ludvig Aberg,-9,7,18,72,68,69,66,0,0,0,100
Stu,19,7,T22,Harris English,-8,7,18,73,68,70,65,0,0,0,100
Alex,9,3,T24,Matt Fitzpatrick,-7,7,18,69,66,72,70,0,0,0,100
Dave,5,2,T28,Hideki Matsuyama,-6,1,18,69,72,69,68,0,0,0,100
Stu,17,6,T34,Si Woo Kim,-5,1,18,68,72,70,69,0,0,0,100
Alex,16,6,T37,Max Homa,-4,1,18,70,66,73,71,0,0,0,100
Alex,4,2,T37,Patrick Cantlay,-4,1,18,72,70,65,73,0,0,0,100
Dave,20,7,T41,Viktor Hovland,-3,1,18,69,73,70,69,0,0,0,100
Stu,13,5,CUT,Sam Burns,1,0,0,70,73,,,0,0,0,0
Alex,10,4,CUT,Russell Henley,2,0,0,76,68,,,0,0,0,0
Dave,23,8,CUT,Daniel Berger,2,0,0,72,72,,,0,0,0,0
Stu,7,3,CUT,Chris Gotterup,3,0,0,71,74,,,0,0,0,0
Stu,22,8,CUT,Tom Hoge,3,0,0,73,72,,,0,0,0,0
Dave,14,5,CUT,Jason Day,5,0,0,73,74,,,0,0,0,0
