current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Jacob Bridgeman,-18,50,4,18,1,66,64,64,72,100,100,100,100,2/22/2026 15:25,The Genesis Invitational,6
T2,Rory McIlroy,-17,25,4,18,-4,66,65,69,67,0,100,100,100,2/22/2026 15:25,The Genesis Invitational,6
T2,Kurt Kitayama,-17,25,4,18,-7,71,64,68,64,0,100,100,100,2/22/2026 15:25,The Genesis Invitational,6
4,Adam Scott,-16,25,4,18,-8,70,63,72,63,0,100,100,100,2/22/2026 15:25,The Genesis Invitational,6
5,Aldrich Potgieter,-15,25,4,18,-3,68,68,65,68,0,100,100,100,2/22/2026 15:25,The Genesis Invitational,6
6,Jake Knapp,-13,15,4,18,-5,73,65,67,66,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T7,Ryan Fox,-12,15,4,18,-4,67,69,69,67,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T7,Tommy Fleetwood,-12,15,4,18,-4,69,66,70,67,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T7,Xander Schauffele,-12,15,4,18,-2,68,65,70,69,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T7,Collin Morikawa,-12,15,4,18,-6,68,69,70,65,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T7,Cameron Young,-12,15,4,18,-5,72,68,66,66,0,0,100,100,2/22/2026 15:25,The Genesis Invitational,6
T12,Jordan Spieth,-11,7,4,18,-5,70,67,70,66,0,0,0,100,2/22/2026 15:25,The Genesis Invitational,6
T12,Scottie Scheffler,-11,7,4,18,-6,74,68,66,65,0,0,0,100,2/22/2026 15:25,The Genesis Invitational,6
T12,Min Woo Lee,-11,7,4,18,-6,69,65,74,65,0,0,0,100,2/22/2026 15:25,The Genesis Invitational,6
T12,Alex Noren,-11,7,4,18,-5,74,66,67,66,0,0,0,100,2/22/2026 15:25,The Genesis Invitational,6
T16,Akshay Bhatia,-10,7,4,18,-3,68,71,67,68,0,0,0,100,2/22/2026 15:25,The Genesis Invitational,6
