Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,12,4,1,Michael Thorbjornsen,-18,50,18,69,64,66,63,100,100,100,100,30
Stu,6,2,2,Xander Schauffele,-16,25,18,66,66,67,65,0,100,100,100,30
Dave,9,3,T5,Hideki Matsuyama,-13,25,18,67,68,68,64,0,100,100,100,30
Stu,1,1,T8,Cameron Young,-12,15,18,69,61,68,70,0,0,100,100,30
Stu,13,5,T8,Davis Thompson,-12,15,18,67,68,67,66,0,0,100,100,30
Alex,11,4,T8,Ryan Gerard,-12,15,18,63,69,69,67,0,0,100,100,30
Alex,20,7,T8,Patrick Cantlay,-12,15,18,64,66,70,68,0,0,100,100,30
Stu,18,6,T8,Rickie Fowler,-12,15,18,63,68,67,70,0,0,100,100,30
Alex,14,5,T15,Michael Brennan,-11,7,18,65,67,64,73,0,0,0,100,30
Dave,10,4,T20,Russell Henley,-10,7,18,67,67,67,69,0,0,0,100,30
Dave,15,5,T26,Ben Kohles,-9,1,18,70,65,68,68,0,0,0,100,30
Dave,4,2,T31,Jackson Koivun,-8,1,18,69,67,67,69,0,0,0,100,30
Dave,21,7,T31,Emiliano Grillo,-8,1,18,66,67,69,70,0,0,0,100,30
Dave,3,1,T42,Si Woo Kim,-6,1,18,69,66,65,74,0,0,0,100,30
Stu,19,7,T50,Jackson Suber,-4,1,18,66,71,69,70,0,0,0,100,30
Dave,16,6,T50,J.J. Spaun,-4,1,18,67,67,70,72,0,0,0,100,30
Stu,22,8,T50,Matt McCarty,-4,1,18,70,66,72,68,0,0,0,100,30
Alex,5,2,CUT,Jake Knapp,-2,0,0,67,71,,,0,0,0,0,30
Alex,8,3,CUT,Ben Griffin,-2,0,0,68,70,,,0,0,0,0,30
Alex,17,6,CUT,Akshay Bhatia,-1,0,0,68,71,,,0,0,0,0,30
Dave,24,8,CUT,Joel Dahmen,-1,0,0,70,69,,,0,0,0,0,30
Alex,2,1,CUT,Chris Gotterup,1,0,0,68,73,,,0,0,0,0,30
Alex,23,8,CUT,Taylor Pendrith,2,0,0,72,70,,,0,0,0,0,30
Stu,7,3,CUT,Wyndham Clark,5,0,0,71,74,,,0,0,0,0,30
