current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Michael Thorbjornsen,-18,50,4,18,-7,69,64,66,63,100,100,100,100,8/2/2026 18:05,Rocket Classic,30
2,Xander Schauffele,-16,25,4,18,-5,66,66,67,65,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
3,Davis Riley,-15,25,4,18,0,68,64,63,70,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
4,Rasmus Hojgaard,-14,25,4,18,-2,69,68,61,68,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
T5,Matt Wallace,-13,25,4,18,-3,67,64,69,67,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
T5,Kristoffer Ventura,-13,25,4,18,-2,68,66,65,68,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
T5,Hideki Matsuyama,-13,25,4,18,-6,67,68,68,64,0,100,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Patrick Cantlay,-12,15,4,18,-2,64,66,70,68,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Davis Thompson,-12,15,4,18,-4,67,68,67,66,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Ryan Gerard,-12,15,4,18,-3,63,69,69,67,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Michael Kim,-12,15,4,18,-1,65,67,67,69,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Chris Kirk,-12,15,4,18,0,65,67,66,70,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Cameron Young,-12,15,4,18,0,69,61,68,70,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T8,Rickie Fowler,-12,15,4,18,0,63,68,67,70,0,0,100,100,8/2/2026 18:05,Rocket Classic,30
T15,Michael Brennan,-11,7,4,18,3,65,67,64,73,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T15,Keegan Bradley,-11,7,4,18,-3,65,68,69,67,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T15,Doug Ghim,-11,7,4,18,-3,65,67,70,67,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T15,Sungjae Im,-11,7,4,18,-3,67,69,66,67,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T15,Rico Hoey,-11,7,4,18,-2,66,69,66,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Russell Henley,-10,7,4,18,-1,67,67,67,69,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Corey Conners,-10,7,4,18,-3,67,67,69,67,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Luke Clanton,-10,7,4,18,0,66,67,67,70,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Chandler Blanchet,-10,7,4,18,-3,72,65,66,67,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Keita Nakajima,-10,7,4,18,-2,69,67,66,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T20,Ricky Castillo,-10,7,4,18,-2,66,68,68,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T26,Ben Kohles,-9,1,4,18,-2,70,65,68,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T26,Mac Meissner,-9,1,4,18,-1,69,68,65,69,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T26,Jacob Bridgeman,-9,1,4,18,-2,68,65,70,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T26,Stephan Jaeger,-9,1,4,18,-1,65,68,69,69,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T26,Kevin Roy,-9,1,4,18,-1,69,66,67,69,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T31,Jordan Smith,-8,1,4,18,0,66,71,65,70,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T31,Emiliano Grillo,-8,1,4,18,0,66,67,69,70,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
T31,Jordan Spieth,-8,1,4,18,-2,68,66,70,68,0,0,0,100,8/2/2026 18:05,Rocket Classic,30
