Pick,Round,Drafter,Player
1,1,Stu,Cameron Young
2,1,Alex,Chris Gotterup
3,1,Dave,Si Woo Kim
4,2,Dave,Jackson Koivun
5,2,Alex,Jake Knapp
6,2,Stu,Xander Schauffele
7,3,Stu,Wyndham Clark
8,3,Alex,Ben Griffin
9,3,Dave,Hideki Matsuyama
10,4,Dave,Russell Henley
11,4,Alex,Ryan Gerard
12,4,Stu,Michael Thorbjornsen
13,5,Stu,Davis Thompson
14,5,Alex,Michael Brennan
15,5,Dave,Ben Kohles
16,6,Dave,J.J. Spaun
17,6,Alex,Akshay Bhatia
18,6,Stu,Rickie Fowler
19,7,Stu,Jackson Suber
20,7,Alex,Patrick Cantlay
21,7,Dave,Emiliano Grillo
22,8,Stu,Matt McCarty
23,8,Alex,Taylor Pendrith
24,8,Dave,Joel Dahmen
