Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,6,2,T3,Matt Fitzpatrick,-13,25,18,67,65,66,69,0,100,100,100,27
Stu,12,4,T3,Robert MacIntyre,-13,25,18,67,66,65,69,0,100,100,100,27
Alex,2,1,T7,Rory McIlroy,-12,15,18,65,66,73,64,0,0,100,100,27
Dave,21,7,T9,Si Woo Kim,-11,15,18,70,67,66,66,0,0,100,100,27
Dave,4,2,T11,Chris Gotterup,-10,7,18,68,65,66,71,0,0,0,100,27
Dave,10,4,T13,Wyndham Clark,-9,7,18,67,67,66,71,0,0,0,100,27
Dave,3,1,T13,Tommy Fleetwood,-9,7,18,67,70,66,68,0,0,0,100,27
Dave,15,5,T13,Viktor Hovland,-9,7,18,68,70,69,64,0,0,0,100,27
Stu,18,6,T13,Patrick Reed,-9,7,18,68,67,68,68,0,0,0,100,27
Alex,8,3,T17,Tyrrell Hatton,-8,7,18,70,66,67,69,0,0,0,100,27
Stu,13,5,T26,Nicolai Hojgaard,-6,1,18,68,66,70,70,0,0,0,100,27
Alex,5,2,T36,Jon Rahm,-4,1,18,73,65,68,70,0,0,0,100,27
Alex,17,6,T44,Kurt Kitayama,-3,1,18,66,72,71,68,0,0,0,100,27
Alex,20,7,CUT,Marco Penge,-1,0,0,70,69,,,0,0,0,0,27
Dave,16,6,CUT,Patrick Cantlay,-1,0,0,65,74,,,0,0,0,0,27
Dave,9,3,CUT,Ludvig Aberg,-1,0,0,68,71,,,0,0,0,0,27
Stu,19,7,CUT,Brooks Koepka,0,0,0,66,74,,,0,0,0,0,27
Stu,1,1,CUT,Scottie Scheffler,0,0,0,68,72,,,0,0,0,0,27
Alex,11,4,CUT,Alex Fitzpatrick,1,0,0,71,70,,,0,0,0,0,27
Stu,7,3,CUT,Xander Schauffele,3,0,0,69,74,,,0,0,0,0,27
Alex,14,5,CUT,Kristoffer Reitan,3,0,0,71,72,,,0,0,0,0,27
Alex,23,8,CUT,Pierceson Coody,3,0,0,71,72,,,0,0,0,0,27
Dave,24,8,CUT,Haotong Li,3,0,0,68,75,,,0,0,0,0,27
Stu,22,8,CUT,Daniel Hillier,6,0,0,75,71,,,0,0,0,0,27
