current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Tom Kim,-17,50,4,18,-6,65,66,68,64,100,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
2,Min Woo Lee,-15,25,4,18,-3,66,66,66,67,0,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T3,Matt Fitzpatrick,-13,25,4,18,-1,67,65,66,69,0,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T3,Johnny Keefer,-13,25,4,18,-3,68,68,64,67,0,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T3,Keita Nakajima,-13,25,4,18,-3,67,66,67,67,0,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T3,Robert MacIntyre,-13,25,4,18,-1,67,66,65,69,0,100,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T7,Rory McIlroy,-12,15,4,18,-6,65,66,73,64,0,0,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T7,Michael Thorbjornsen,-12,15,4,18,-1,66,68,65,69,0,0,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T9,Victor Perez,-11,15,4,18,-4,69,64,70,66,0,0,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T9,Si Woo Kim,-11,15,4,18,-4,70,67,66,66,0,0,100,100,7/12/2026 19:51,Genesis Scottish Open,27
T11,Kevin Roy,-10,7,4,18,0,67,68,65,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T11,Chris Gotterup,-10,7,4,18,1,68,65,66,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T13,Viktor Hovland,-9,7,4,18,-6,68,70,69,64,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T13,Patrick Reed,-9,7,4,18,-2,68,67,68,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T13,Tommy Fleetwood,-9,7,4,18,-2,67,70,66,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T13,Wyndham Clark,-9,7,4,18,1,67,67,66,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T17,Alejandro Del Rey,-8,7,4,18,-1,72,66,65,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T17,Tyrrell Hatton,-8,7,4,18,-1,70,66,67,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T17,Joost Luiten,-8,7,4,18,-1,67,66,70,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T17,Francesco Molinari,-8,7,4,18,-2,68,69,67,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T21,Cam Davis,-7,7,4,18,-3,70,66,70,67,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T21,Casey Jarvis,-7,7,4,18,-1,68,68,68,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T21,Matti Schmid,-7,7,4,18,-1,68,69,67,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T21,Jordan Smith,-7,7,4,18,0,68,63,72,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T21,Danny Willett,-7,7,4,18,2,67,67,67,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T26,Nick Taylor,-6,1,4,18,-2,70,67,69,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T26,Nicolai Hojgaard,-6,1,4,18,0,68,66,70,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T26,Ryan Gerard,-6,1,4,18,1,68,67,68,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T26,Marcus Armitage,-6,1,4,18,2,68,67,67,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Tom McKibbin,-5,1,4,18,0,67,71,67,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Karl Vilips,-5,1,4,18,3,70,64,68,73,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Ryan Fox,-5,1,4,18,0,71,65,69,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Andy Sullivan,-5,1,4,18,0,68,68,69,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Mac Meissner,-5,1,4,18,3,71,67,64,73,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T30,Austin Eckroat,-5,1,4,18,0,70,66,69,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Jon Rahm,-4,1,4,18,0,73,65,68,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Shaun Norris,-4,1,4,18,-3,68,70,71,67,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Rasmus Neergaard-Petersen,-4,1,4,18,5,68,68,65,75,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Max Greyserman,-4,1,4,18,-1,69,69,69,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Nico Echavarria,-4,1,4,18,-1,68,70,69,69,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Oliver Lindell,-4,1,4,18,2,66,69,69,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Brian Harman,-4,1,4,18,-2,70,68,70,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T36,Rasmus Hojgaard,-4,1,4,18,-2,65,73,70,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,J.J. Spaun,-3,1,4,18,2,68,70,67,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,Calum Hill,-3,1,4,18,2,67,69,69,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,Ricky Castillo,-3,1,4,18,1,70,66,70,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,Kurt Kitayama,-3,1,4,18,-2,66,72,71,68,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,Darius Van Driel,-3,1,4,18,2,70,65,70,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T44,Mikael Lindberg,-3,1,4,18,2,69,68,68,72,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T50,Justin Thomas,-2,1,4,18,3,69,67,69,73,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T50,Laurie Canter,-2,1,4,18,1,69,68,70,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
CUT,Ewen Ferguson,-1,0,2,0,0,70,69,,,0,0,0,0,7/12/2026 19:51,Genesis Scottish Open,27
T52,Sudarshan Yellamaraju,-1,1,4,18,7,68,65,69,77,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T52,Michael Brennan,-1,1,4,18,0,67,71,71,70,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T52,Andrew Putnam,-1,1,4,18,3,71,65,70,73,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T52,Corey Conners,-1,1,4,18,1,67,70,71,71,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
T52,Jesper Svensson,-1,1,4,18,4,70,68,67,74,0,0,0,100,7/12/2026 19:51,Genesis Scottish Open,27
CUT,Patrick Cantlay,-1,0,2,0,0,65,74,,,0,0,0,0,7/12/2026 19:51,Genesis Scottish Open,27
CUT,Ludvig Aberg,-1,0,2,0,0,68,71,,,0,0,0,0,7/12/2026 19:51,Genesis Scottish Open,27
