Pick,Round,Drafter,Player
1,1,Stu,Scottie Scheffler
2,1,Alex,Rory McIlroy
3,1,Dave,Tommy Fleetwood
4,2,Dave,Chris Gotterup
5,2,Alex,Jon Rahm
6,2,Stu,Matt Fitzpatrick
7,3,Stu,Xander Schauffele
8,3,Alex,Tyrrell Hatton
9,3,Dave,Ludvig Aberg
10,4,Dave,Wyndham Clark
11,4,Alex,Alex Fitzpatrick
12,4,Stu,Robert MacIntyre
13,5,Stu,Nicolai Hojgaard
14,5,Alex,Kristoffer Reitan
15,5,Dave,Viktor Hovland
16,6,Dave,Patrick Cantlay
17,6,Alex,Kurt Kitayama
18,6,Stu,Patrick Reed
19,7,Stu,Brooks Koepka
20,7,Alex,Marco Penge
21,7,Dave,Si Woo Kim
22,8,Stu,Daniel Hillier
23,8,Alex,Pierceson Coody
24,8,Dave,Haotong Li
