Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Stu,19,7,1,Thriston Lawrence,-18,50,18,64,63,73,62,100,100,100,100,35
Dave,9,3,3,Harry Hall,-17,25,18,65,68,67,63,0,100,100,100,35
Stu,12,4,T4,Eugenio Chacarra,-16,25,18,65,67,65,67,0,100,100,100,35
Alex,8,3,T4,Angel Ayora,-16,25,18,64,68,66,66,0,100,100,100,35
Stu,6,2,T9,Matt Wallace,-15,15,18,68,66,66,65,0,0,100,100,35
Alex,2,1,T11,Rasmus Hojgaard,-14,7,18,68,66,66,66,0,0,0,100,35
Alex,20,7,T11,Ignacio Elvira Mijares,-14,7,18,67,62,68,69,0,0,0,100,35
Dave,3,1,T11,Patrick Reed,-14,7,18,66,67,67,66,0,0,0,100,35
Dave,15,5,T15,Antoine Rozner,-12,7,18,66,67,67,68,0,0,0,100,35
Dave,24,8,T15,Andreas Halvorsen,-12,7,18,69,66,68,65,0,0,0,100,35
Alex,5,2,T18,Marco Penge,-11,7,18,68,68,68,65,0,0,0,100,35
Alex,11,4,T23,Davis Bryant,-10,7,18,66,66,70,68,0,0,0,100,35
Alex,23,8,T23,Rafa Cabrera Bello,-10,7,18,66,65,69,70,0,0,0,100,35
Dave,10,4,T23,Keita Nakajima,-10,7,18,67,63,69,71,0,0,0,100,35
Stu,1,1,T30,Ryan Gerard,-9,1,18,69,68,65,69,0,0,0,100,35
Stu,7,3,T30,Casey Jarvis,-9,1,18,67,69,66,69,0,0,0,100,35
Alex,17,6,T30,David Puig,-9,1,18,66,67,67,71,0,0,0,100,35
Dave,16,6,T30,Thomas Detry,-9,1,18,68,64,70,69,0,0,0,100,35
Dave,21,7,T57,Guido Migliozzi,-3,1,18,68,69,69,71,0,0,0,100,35
Stu,13,5,T61,Jayden Schaper,-2,1,18,67,69,72,70,0,0,0,100,35
Stu,18,6,CUT,Adrien Saddier,-2,0,0,70,68,,,0,0,0,0,35
Alex,14,5,CUT,Rasmus Neergaard-Petersen,0,0,0,70,70,,,0,0,0,0,35
Dave,4,2,CUT,Nicolai Hojgaard,3,0,0,68,75,,,0,0,0,0,35
Stu,22,8,CUT,Jason Scrivener,4,0,0,71,73,,,0,0,0,0,35
