Pick,Round,Drafter,Player
1,1,Stu,Ryan Gerard
2,1,Alex,Rasmus Hojgaard
3,1,Dave,Patrick Reed
4,2,Dave,Nicolai Hojgaard
5,2,Alex,Marco Penge
6,2,Stu,Matt Wallace
7,3,Stu,Casey Jarvis
8,3,Alex,Angel Ayora
9,3,Dave,Harry Hall
10,4,Dave,Keita Nakajima
11,4,Alex,Daniel Hillier
12,4,Stu,Eugenio Lopez-Chacarra
13,5,Stu,Jayden Trey Schaper
14,5,Alex,Rasmus Neergaard-Petersen
15,5,Dave,Antoine Rozner
16,6,Dave,Thomas Detry
17,6,Alex,David Puig
18,6,Stu,Adrien Saddier
19,7,Stu,Thriston Lawrence
20,7,Alex,Nacho Elvira
21,7,Dave,Guido Migliozzi
22,8,Stu,Jason Scrivener
23,8,Alex,Rafael Cabrera Bello
24,8,Dave,Andreas Halvorsen
