Drafter,Pick,Round,current_pos,player_first_last,current_score,current_points,thru,R1,R2,R3,R4,win,top_5,top_10,make_cut,tourney_num
Dave,1,1,1,Scottie Scheffler,-16,50,18,65,67,66,66,100,100,100,100,34
Stu,15,5,2,Viktor Hovland,-13,25,18,64,66,65,72,0,100,100,100,34
Dave,18,6,3,Ryan Gerard,-12,25,18,65,65,66,72,0,100,100,100,34
Alex,8,3,T4,Chris Gotterup,-11,25,18,64,67,67,71,0,100,100,100,34
Stu,10,4,T4,Russell Henley,-11,25,18,70,65,66,68,0,100,100,100,34
Alex,11,4,T4,Ludvig Aberg,-11,25,18,65,68,65,71,0,100,100,100,34
Dave,22,8,T4,Jacob Bridgeman,-11,25,18,68,67,66,68,0,100,100,100,34
Alex,2,1,T4,Rory McIlroy,-11,25,18,68,69,63,69,0,100,100,100,34
Stu,24,8,T4,Alex Fitzpatrick,-11,25,18,68,68,67,66,0,100,100,100,34
Dave,12,4,T11,Tommy Fleetwood,-10,7,18,66,70,67,67,0,0,0,100,34
Alex,5,2,T11,Cameron Young,-10,7,18,70,62,68,70,0,0,0,100,34
Dave,13,5,T14,Si Woo Kim,-9,7,18,69,68,65,69,0,0,0,100,34
Dave,19,7,T14,Tom Kim,-9,7,18,67,68,68,68,0,0,0,100,34
Stu,4,2,T14,Collin Morikawa,-9,7,18,64,67,72,68,0,0,0,100,34
Stu,3,1,T14,Xander Schauffele,-9,7,18,67,71,67,66,0,0,0,100,34
Dave,6,2,T18,Sam Burns,-7,7,18,66,68,67,72,0,0,0,100,34
Stu,21,7,T18,Justin Rose,-7,7,18,68,65,69,71,0,0,0,100,34
Alex,14,5,T21,Matt Fitzpatrick,-5,7,18,66,67,69,73,0,0,0,100,34
Stu,9,3,T21,Patrick Cantlay,-5,7,18,68,70,68,69,0,0,0,100,34
Dave,7,3,T21,Wyndham Clark,-5,7,18,67,69,67,72,0,0,0,100,34
Stu,16,6,T21,Hideki Matsuyama,-5,7,18,69,70,67,69,0,0,0,100,34
Alex,23,8,25,Kristoffer Reitan,-3,7,18,70,69,68,70,0,0,0,100,34
Alex,20,7,28,Robert MacIntyre,0,1,18,67,76,63,74,0,0,0,100,34
Alex,17,6,29,Gary Woodland,2,1,18,66,68,71,77,0,0,0,100,34
