current_pos,player_first_last,current_score,current_points,round,thru,today,R1,R2,R3,R4,win,top_5,top_10,make_cut,last_update,event_name,tourney_num
1,Scottie Scheffler,-16,50,4,18,-4,65,67,66,66,100,100,100,100,8/30/2026 18:00,TOUR Championship,34
2,Viktor Hovland,-13,25,4,18,2,64,66,65,72,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
3,Ryan Gerard,-12,25,4,18,2,65,65,66,72,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Ludvig Aberg,-11,25,4,18,1,65,68,65,71,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Min Woo Lee,-11,25,4,18,-2,62,73,66,68,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Chris Gotterup,-11,25,4,18,1,64,67,67,71,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Alex Fitzpatrick,-11,25,4,18,-4,68,68,67,66,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Jacob Bridgeman,-11,25,4,18,-2,68,67,66,68,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Rory McIlroy,-11,25,4,18,-1,68,69,63,69,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T4,Russell Henley,-11,25,4,18,-2,70,65,66,68,0,100,100,100,8/30/2026 18:00,TOUR Championship,34
T11,Adam Scott,-10,7,4,18,2,66,67,65,72,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T11,Tommy Fleetwood,-10,7,4,18,-3,66,70,67,67,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T11,Cameron Young,-10,7,4,18,0,70,62,68,70,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T14,Si Woo Kim,-9,7,4,18,-1,69,68,65,69,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T14,Tom Kim,-9,7,4,18,-2,67,68,68,68,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T14,Xander Schauffele,-9,7,4,18,-4,67,71,67,66,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T14,Collin Morikawa,-9,7,4,18,-2,64,67,72,68,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T18,Akshay Bhatia,-7,7,4,18,-2,65,69,71,68,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T18,Sam Burns,-7,7,4,18,2,66,68,67,72,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T18,Justin Rose,-7,7,4,18,1,68,65,69,71,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T21,Matt Fitzpatrick,-5,7,4,18,3,66,67,69,73,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T21,Patrick Cantlay,-5,7,4,18,-1,68,70,68,69,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T21,Hideki Matsuyama,-5,7,4,18,-1,69,70,67,69,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
T21,Wyndham Clark,-5,7,4,18,2,67,69,67,72,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
25,Kristoffer Reitan,-3,7,4,18,0,70,69,68,70,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
26,Ryan Fox,-2,1,4,18,4,66,68,70,74,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
27,Alex Smalley,-1,1,4,18,2,67,68,72,72,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
28,Robert MacIntyre,0,1,4,18,4,67,76,63,74,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
WD,J.J. Spaun,0,0,1,0,0,,,,,0,0,0,0,8/30/2026 18:00,TOUR Championship,34
29,Gary Woodland,2,1,4,18,7,66,68,71,77,0,0,0,100,8/30/2026 18:00,TOUR Championship,34
